IFNC - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;10.775,34;;11.531,59;;;;;;;;
2;;10.572,77;10.514,62;;9.946,17;;;;;;;
3;9.211,82;10.601,08;10.623,25;;9.948,94;;;;;;;
4;9.230,41;10.628,44;10.390,31;11.476,79;10.078,75;;;;;;;
5;9.057,60;;;11.181,05;9.745,10;;;;;;;
6;9.175,44;;;11.127,96;;;;;;;;
7;9.333,40;10.541,37;10.045,10;11.180,11;;;;;;;;
8;;10.593,26;10.037,06;11.169,77;;;;;;;;
9;;10.395,69;10.530,88;;;;;;;;;
10;9.311,92;10.464,80;10.382,52;;;;;;;;;
11;9.428,67;10.644,80;10.274,49;11.027,54;;;;;;;;
12;9.461,86;;;10.840,21;;;;;;;;
13;9.526,69;;;10.907,53;;;;;;;;
14;9.714,47;10.713,75;10.310,62;10.917,69;;;;;;;;
15;;10.944,34;10.285,65;;;;;;;;;
16;;10.970,88;10.495,79;;;;;;;;;
17;9.736,08;10.837,87;10.686,60;;;;;;;;;
18;9.722,19;10.877,90;10.797,77;11.052,59;;;;;;;;
19;9.763,22;;;10.960,35;;;;;;;;
20;9.974,59;;;10.991,17;;;;;;;;
21;9.998,24;10.657,88;10.887,27;;;;;;;;;
22;;10.727,28;11.145,45;10.762,85;;;;;;;;
23;;10.683,07;11.142,34;;;;;;;;;
24;9.925,43;10.571,37;11.279,98;;;;;;;;;
25;10.233,46;10.639,97;11.397,25;10.716,07;;;;;;;;
26;10.356,26;;;10.335,37;;;;;;;;
27;10.567,28;;;10.306,49;;;;;;;;
28;10.654,21;;11.355,78;10.293,92;;;;;;;;
29;;;11.520,87;10.072,71;;;;;;;;
30;;;11.499,46;;;;;;;;;
31;10.781,53;;11.441,15;;;;;;;;;
MÍNIMO;9.057,60;10.395,69;10.037,06;10.072,71;9.745,10;;;;;;;
MÍNIMO;10.781,53;10.970,88;11.520,87;11.531,59;10.078,75;;;;;;;
