IFNC - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;7.726,39;;8.981,44;10.132,63;;10.233,36;9.411,32;;11.303,75
2;13.612,13;;12.146,22;7.876,28;;9.357,51;10.178,73;;10.228,69;9.376,48;;11.450,62
3;13.505,56;12.763,43;11.874,21;7.586,00;;9.805,86;10.248,82;10.926,13;10.256,69;;9.484,55;11.455,96
4;;12.770,99;11.760,45;;8.151,52;9.938,91;;10.627,69;10.286,39;;9.743,90;11.521,60
5;;12.928,18;11.210,59;;8.232,19;10.038,08;;10.658,04;;9.557,58;10.017,23;
6;13.374,46;12.817,21;10.983,15;8.140,59;8.093,39;;10.545,22;10.820,73;;9.447,70;10.047,01;
7;13.299,94;12.781,34;;8.441,94;7.774,67;;10.296,90;10.651,35;;9.353,84;;11.563,78
8;13.160,53;;;8.709,34;8.008,46;10.463,09;10.635,90;;10.085,38;9.766,84;;11.521,06
9;13.036,25;;9.937,42;8.640,17;;10.347,95;10.498,85;;10.137,11;9.737,90;10.455,47;11.453,69
10;12.901,07;12.712,73;10.438,45;;;10.008,87;10.619,39;10.709,02;9.856,82;;10.798,10;11.830,73
11;;12.985,79;9.647,18;;7.906,49;;;10.577,12;9.712,76;;10.789,58;11.875,62
12;;13.020,35;8.394,61;;7.670,89;9.801,11;;10.533,25;;;10.503,44;
13;13.005,18;12.842,54;9.467,40;8.794,91;7.647,54;;10.524,42;10.317,83;;9.734,22;10.720,89;
14;13.023,95;12.721,85;;8.913,67;7.932,86;;10.675,59;10.322,62;9.941,74;9.797,52;;11.819,66
15;12.839,96;;;8.742,80;7.778,86;9.640,55;10.785,03;;9.798,90;9.727,88;;11.927,96
16;12.918,84;;8.209,97;8.544,08;;9.801,73;10.678,38;;9.789,14;9.528,14;10.990,15;12.164,86
17;13.135,70;12.745,64;8.638,53;8.667,68;;10.009,39;10.905,51;10.002,73;9.781,07;;11.057,87;12.179,50
18;;12.737,59;7.880,37;;8.201,03;10.131,33;;10.304,66;9.543,96;;10.910,92;12.114,16
19;;12.937,24;7.743,18;;7.968,33;10.242,34;;10.140,11;;9.708,86;10.973,24;
20;13.033,24;12.743,48;7.488,32;8.597,86;8.018,33;;11.135,97;10.251,28;;10.041,14;10.891,47;
21;12.738,84;12.629,19;;;8.467,25;;11.154,87;10.234,41;9.440,35;10.101,18;;11.884,72
22;12.974,03;;;8.641,74;8.455,91;10.098,51;11.088,95;;9.531,03;10.338,80;;12.045,86
23;13.249,68;;6.926,18;8.462,12;;10.151,85;10.881,97;;9.338,93;10.234,46;10.936,69;12.200,66
24;13.140,33;;7.837,23;7.791,60;;9.909,69;10.890,60;10.332,50;9.607,19;;11.237,87;
25;;;8.415,87;;8.987,56;10.157,51;;10.329,52;9.557,99;;11.203,13;
26;;11.876,23;8.679,31;;8.791,66;9.890,18;;10.121,45;;10.296,77;11.112,93;
27;12.829,86;11.775,13;8.203,17;8.102,28;8.932,49;;11.204,42;10.212,82;;10.002,37;11.115,80;
28;12.984,95;12.048,72;;8.614,18;8.828,21;;11.105,66;10.346,29;9.442,88;9.535,49;;12.401,83
29;12.821,41;;;8.768,19;8.779,31;10.194,23;11.289,12;;9.253,56;9.603,81;;12.413,77
30;12.905,20;;8.403,79;8.410,76;;9.926,25;11.118,28;;9.344,67;9.341,44;10.923,15;12.276,50
31;12.722,87;;8.116,88;;;;10.850,73;9.993,37;;;;
MÍNIMO;12.722,87;11.775,13;6.926,18;7.586,00;7.647,54;8.981,44;10.132,63;9.993,37;9.253,56;9.341,44;9.484,55;11.303,75
MÍNIMO;13.612,13;13.020,35;12.146,22;8.913,67;8.987,56;10.463,09;11.289,12;10.926,13;10.286,39;10.338,80;11.237,87;12.413,77
