IFNC - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;11.554,32;11.121,63;11.060,89;;;12.048,82;11.890,45;;12.088,93;12.890,82;
2;10.564,18;;;10.975,89;11.139,27;;11.970,93;11.893,01;11.832,01;11.752,34;;12.592,14
3;10.708,01;;;10.850,37;11.133,73;11.640,45;12.168,43;;11.646,67;11.789,33;;12.666,04
4;10.594,20;11.757,37;;11.050,46;;11.664,45;12.412,73;;11.794,53;11.872,05;12.909,30;12.935,60
5;;11.674,70;;11.193,96;;11.461,40;12.541,60;11.645,73;12.031,67;;13.018,49;12.948,56
6;;11.181,71;11.014,33;;10.948,64;11.678,99;;11.961,50;12.313,01;;12.924,88;12.868,62
7;10.611,80;11.192,26;11.040,94;;10.897,68;11.709,47;;12.216,34;;11.592,16;12.943,14;
8;10.648,66;11.370,87;11.240,36;11.194,84;11.065,74;;12.529,73;12.397,14;;11.562,28;12.718,35;
9;10.746,33;;;11.054,65;10.989,94;;;12.369,90;12.327,26;11.809,29;;12.884,63
10;10.794,91;;;11.034,18;10.899,86;11.601,60;12.617,31;;12.207,49;11.878,92;;12.760,47
11;10.789,79;11.231,41;11.612,78;10.865,83;;11.692,66;12.476,88;;12.237,60;12.098,79;12.842,75;12.695,13
12;;11.498,33;11.624,79;10.723,80;;11.610,66;12.228,08;12.020,40;12.256,25;;12.674,00;12.799,46
13;;11.308,94;11.729,71;;10.647,57;11.497,50;;12.246,33;12.155,52;;12.571,15;12.861,36
14;10.936,21;11.679,10;11.629,64;;10.645,74;11.332,90;;11.938,56;;12.224,39;12.675,64;
15;10.846,78;11.601,55;11.704,50;10.733,58;10.573,83;;12.183,75;11.866,20;;12.183,62;;
16;10.871,35;;;10.804,01;10.402,39;;12.254,11;11.951,65;12.093,62;12.369,45;;12.708,63
17;10.921,32;;;10.674,99;10.376,52;11.319,15;12.265,46;;12.290,52;12.367,39;;12.952,98
18;11.017,29;11.435,42;11.760,73;10.817,64;;11.639,52;12.429,57;;12.377,92;12.356,91;12.556,95;13.207,58
19;;11.603,89;11.623,61;;;11.730,05;12.205,26;11.893,44;12.242,70;;12.475,89;13.297,46
20;;11.446,41;11.382,43;;10.682,45;;;11.859,66;12.351,27;;;13.270,43
21;10.954,63;11.539,89;11.167,43;;11.098,83;12.031,62;;12.056,18;;12.516,02;12.642,03;
22;10.892,45;11.622,65;10.812,32;10.820,02;11.042,75;;12.367,32;11.920,67;;12.784,00;12.765,86;
23;11.086,09;;;11.046,90;11.045,76;;12.349,70;11.635,71;12.305,30;12.907,36;;13.289,30
24;11.179,98;;;11.017,17;10.981,82;12.058,10;12.526,14;;12.157,98;12.923,09;;
25;;11.534,75;10.837,78;11.202,72;;11.846,84;12.146,86;;12.209,88;12.984,47;12.580,41;
26;;11.613,83;10.965,57;11.154,86;;11.996,62;12.172,77;11.459,95;12.408,19;;12.315,19;13.439,96
27;;11.480,42;10.513,31;;11.090,80;12.013,71;;11.598,29;12.376,86;;12.472,18;13.298,99
28;11.285,94;11.229,69;10.891,02;;11.348,83;12.005,39;;11.668,40;;13.164,55;12.522,66;
29;11.228,86;;11.004,45;11.111,76;11.479,25;;12.223,65;11.850,56;;13.003,89;12.545,49;
30;11.292,94;;;11.142,39;11.648,16;;12.091,46;11.994,70;12.245,31;13.079,54;;13.220,73
31;11.521,57;;;;11.628,26;;11.854,86;;;12.846,17;;
MÍNIMO;10.564,18;11.181,71;10.513,31;10.674,99;10.376,52;11.319,15;11.854,86;11.459,95;11.646,67;11.562,28;12.315,19;12.592,14
MÍNIMO;11.521,57;11.757,37;11.760,73;11.202,72;11.648,16;12.058,10;12.617,31;12.397,14;12.408,19;13.164,55;13.018,49;13.439,96
