Date,IRBR3.SA,SULA11.SA,BBSE3.SA,ITUB3.SA,SANB11.SA,CXSE3.SA,MODL11.SA,GETT11.SA,BBDC3.SA,ITSA4.SA,BBAS3.SA,PSSA3.SA,BPAC11.SA,CIEL3.SA,BRBI11.SA,CARD3.SA,WIZS3.SA,CLSA3.SA,B3SA3.SA,BPAN4.SA,BRSR6.SA,ABCB4.SA,BBDC4.SA,BMGB4.SA,ITUB4.SA,BIDI11.SA,BOAS3.SA
2019-01-02,24.319772720336914,24.041868209838867,22.072254180908203,28.156631469726562,37.30659866333008,,,,19.341644287109375,10.124741554260254,40.17279052734375,19.608278274536133,4.815236568450928,8.264734268188477,,6.457957744598389,5.351546764373779,,7.576513290405273,1.8584076166152954,18.880151748657227,14.790447235107422,21.426738739013672,,33.052764892578125,,
2019-01-03,24.033658981323242,23.40018081665039,22.31386375427246,28.412118911743164,38.53819274902344,,,,19.746845245361328,10.212782859802246,40.33811950683594,18.986209869384766,5.014420986175537,8.067343711853027,,6.6424713134765625,5.388710021972656,,7.906403064727783,1.802655577659607,18.71518898010254,14.773167610168457,21.644824981689453,,33.597686767578125,,
2019-01-04,23.765060424804688,22.347816467285156,22.09563446044922,27.936378479003906,38.49740982055664,,,,19.31403350830078,10.180769920349121,40.33811950683594,18.17940902709961,5.192333221435547,8.711012840270996,,6.688600063323975,5.314383506774902,,7.6201348304748535,1.8305314779281616,18.558473587036133,14.643580436706543,21.474977493286133,,33.034908294677734,,
2019-01-07,24.00446128845215,22.7071590423584,21.768291473388672,28.297588348388672,39.14174270629883,,,,19.476341247558594,10.172765731811523,40.0736083984375,18.545108795166016,5.298694133758545,8.633773803710938,,6.725502014160156,5.269787311553955,,7.579240798950195,1.8119473457336426,18.393508911132812,14.686775207519531,21.729734420776367,,33.097442626953125,,
2019-01-08,24.23218536376953,23.229068756103516,21.448741912841797,28.368072509765625,38.85340881347656,,,,19.69274139404297,10.308826446533203,39.61896896362305,19.00128936767578,5.638748645782471,8.341974258422852,,6.7162766456604,5.314383506774902,,7.60105037689209,1.8119473457336426,18.80591583251953,14.963232040405273,21.862438201904297,,33.517303466796875,,
2019-01-09,24.16795539855957,23.45151710510254,20.770675659179688,28.632369995117188,39.38977813720703,,,,20.10391616821289,10.444890975952148,39.51150131225586,18.92588996887207,5.647354602813721,8.69384765625,,6.7070512771606445,5.463037490844727,,7.6364922523498535,1.8212393522262573,19.185340881347656,15.196493148803711,22.239286422729492,,34.02647399902344,,
2019-01-10,23.671634674072266,23.870752334594727,21.355215072631836,28.632369995117188,39.80044174194336,,,,20.163423538208008,10.372857093811035,40.09013366699219,19.246347427368164,5.578510284423828,9.517745971679688,,6.633245468139648,5.708316326141357,,7.707377910614014,1.8955756425857544,19.193584442138672,15.30880355834961,22.17028045654297,,33.794219970703125,,
2019-01-11,23.195751190185547,24.743446350097656,21.628002166748047,28.30640983581543,39.71662902832031,,,,20.082277297973633,10.24479866027832,40.255455017089844,20.286893844604492,5.572056770324707,9.191619873046875,,6.624020099639893,5.79750919342041,,7.8709588050842285,1.9048677682876587,19.243074417114258,15.619817733764648,22.0269718170166,,33.5887565612793,,
2019-01-14,23.093564987182617,24.743446350097656,21.822847366333008,28.632369995117188,40.53794860839844,,,,20.10391616821289,10.396870613098145,41.189510345458984,20.678983688354492,5.5161213874816895,9.354683876037598,,6.7162766456604,5.93129825592041,,8.045442581176758,1.8862837553024292,19.589496612548828,15.680292129516602,22.28705406188965,,33.838890075683594,,
2019-01-15,23.3563232421875,25.53913688659668,21.92416763305664,28.244728088378906,39.38977813720703,,,,20.179658889770508,10.332840919494629,40.710079193115234,20.396223068237305,5.507514953613281,9.011392593383789,,6.624020099639893,6.1988749504089355,,7.966381072998047,1.876991629600525,19.548261642456055,15.611178398132324,22.24458885192871,,33.31184005737305,,
2019-01-16,24.23218536376953,25.496362686157227,22.134601593017578,28.183067321777344,39.13835525512695,,,,20.287853240966797,10.340843200683594,40.32157516479492,20.019216537475586,5.593570709228516,8.788252830505371,,6.688600063323975,6.0502214431762695,,8.138139724731445,1.8305314779281616,19.383296966552734,15.53342342376709,22.350744247436523,,33.21356964111328,,
2019-01-17,24.407358169555664,25.504915237426758,22.6256160736084,28.112579345703125,39.6328239440918,,,,20.3690128326416,10.356851577758789,40.470367431640625,20.0003662109375,5.744166851043701,8.99422836303711,,6.6424713134765625,6.169144153594971,,8.179036140441895,1.8584076166152954,19.135848999023438,15.63709831237793,22.425046920776367,,33.21356964111328,,
2019-01-18,25.16935920715332,26.009708404541016,23.101043701171875,28.4561710357666,40.588233947753906,,,,20.612462997436523,10.348849296569824,40.1314582824707,20.509328842163086,6.000179767608643,8.942733764648438,,6.59634256362915,5.946163177490234,,8.288090705871582,1.8862837553024292,19.05336570739746,15.853080749511719,22.653282165527344,,33.64236068725586,,
2019-01-21,25.12264633178711,25.85570526123047,22.680173873901367,28.27115821838379,40.52119445800781,,,,20.255395889282227,10.308826446533203,39.91654586791992,20.3924560546875,5.9377899169921875,9.140125274658203,,6.59634256362915,5.819807052612305,,8.31535530090332,1.9977881908416748,18.640954971313477,16.172731399536133,22.393205642700195,,33.365421295166016,,
2019-01-22,25.280302047729492,26.206493377685547,22.719141006469727,28.183067321777344,40.4373779296875,,,,20.239168167114258,10.26080322265625,39.84215545654297,20.558340072631836,5.8947625160217285,8.925569534301758,,6.6055684089660645,5.834672451019287,,8.116331100463867,2.034956455230713,18.269784927368164,16.129533767700195,22.292360305786133,,33.31184005737305,,
