Date,MATD3.SA,BLAU3.SA,CYRE3.SA,ODPV3.SA,CSED3.SA,DASA3.SA,ARZZ3.SA,AALR3.SA,JBSS3.SA,MDIA3.SA,RAIZ4.SA,AGRO3.SA,VAMO3.SA,VIVR3.SA,ASAI3.SA,HBOR3.SA,RADL3.SA,ONCO3.SA,ANIM3.SA,NTCO3.SA,AMER3.SA,BKBR3.SA,PARD3.SA,SMFT3.SA,CEAB3.SA,LREN3.SA,LAVV3.SA,PETZ3.SA,HAPV3.SA,JHSF3.SA,GRND3.SA,RDOR3.SA,CAML3.SA,PLPL3.SA,CVCB3.SA,SOMA3.SA,ALPA4.SA,BRFS3.SA,QUAL3.SA,PGMN3.SA,LEVE3.SA,SEER3.SA,HYPE3.SA,FLRY3.SA,RENT3.SA,MOVI3.SA,SLCE3.SA,TECN3.SA,ESPA3.SA,EVEN3.SA,MTRE3.SA,TTEN3.SA,TCSA3.SA,LCAM3.SA,MGLU3.SA,MRVE3.SA,DIRR3.SA,GMAT3.SA,SBFG3.SA,YDUQ3.SA,SOJA3.SA,PNVL3.SA,VIIA3.SA,CRFB3.SA,GFSA3.SA,EZTC3.SA,JALL3.SA,COGN3.SA,CURY3.SA,BEEF3.SA,AMAR3.SA,TEND3.SA,MEAL3.SA,MRFG3.SA,VULC3.SA,GUAR3.SA,MYPK3.SA,SMTO3.SA,PCAR3.SA,TRIS3.SA,LJQQ3.SA,ABEV3.SA,ALLD3.SA,VIVA3.SA
2019-01-02,,,13.095519065856934,12.492108345031738,,26.41094398498535,52.779884338378906,13.11683177947998,10.45295238494873,40.6314697265625,,13.315924644470215,,3.707624912261963,,7.954797267913818,11.094959259033203,,6.001223087310791,,42.501792907714844,20.500652313232422,18.65141487121582,,,37.56300354003906,,,6.109447002410889,1.6910896301269531,6.94854736328125,,6.594902038574219,,60.521697998046875,,13.824352264404297,22.3799991607666,11.723703384399414,,22.43706512451172,13.783269882202148,27.905807495117188,17.898578643798828,28.665054321289062,8.508827209472656,17.32452392578125,2.52176570892334,,5.495669364929199,,,15.100000381469727,12.09919548034668,5.641578674316406,10.704313278198242,6.791556358337402,,,23.568897247314453,,10.030302047729492,4.380000114440918,17.44756317138672,15.290092468261719,20.410642623901367,,9.14158821105957,,4.370009899139404,5.539999961853027,15.404703140258789,6.948736667633057,4.705183982849121,6.777952194213867,18.502429962158203,21.578899383544922,16.535289764404297,78.95431518554688,3.9705796241760254,,14.685470581054688,,
2019-01-03,,,13.310063362121582,12.670563697814941,,26.41094398498535,53.03753662109375,13.166328430175781,10.617908477783203,41.6978645324707,,13.566380500793457,,3.623361110687256,,7.755927562713623,11.069519996643066,,6.264463424682617,,42.93669509887695,21.05660057067871,18.689369201660156,,,37.088626861572266,,,5.969971656799316,1.6741786003112793,6.915060043334961,,6.856890678405762,,60.13539123535156,,13.848052024841309,21.489999771118164,11.792465209960938,,22.379281997680664,14.082907676696777,28.308948516845703,18.280241012573242,28.191478729248047,8.743879318237305,16.571962356567383,2.6661415100097656,,5.630588054656982,,,15.399999618530273,11.983728408813477,5.581215858459473,10.695843696594238,6.783253192901611,,,23.549928665161133,,10.030302047729492,4.309999942779541,18.193344116210938,15.281070709228516,20.473981857299805,,9.250297546386719,,4.473238468170166,5.610000133514404,15.414222717285156,6.888833999633789,4.738494873046875,6.852027893066406,17.792949676513672,21.525529861450195,16.21352195739746,78.95431518554688,3.998281240463257,,14.849148750305176,,
2019-01-04,,,13.194538116455078,12.849024772644043,,27.38912582397461,50.89046096801758,13.304922103881836,10.895727157592773,41.65267562866211,,13.608122825622559,,3.623361110687256,,7.855362415313721,11.228021621704102,,6.247803211212158,,41.51337814331055,20.99703598022461,18.850643157958984,,,35.66545486450195,,,5.991580486297607,1.6403567790985107,6.772740840911865,,6.893026351928711,,59.38258361816406,,13.745356559753418,21.450000762939453,11.586181640625,,22.413963317871094,13.911686897277832,28.17456817626953,18.637800216674805,27.903621673583984,8.537035942077637,16.68114471435547,2.8778929710388184,,5.567625999450684,,,15.699999809265137,11.921311378479004,5.411353588104248,10.54340934753418,6.758345603942871,,,23.910335540771484,,10.030302047729492,4.269999980926514,17.67774200439453,15.208905220031738,20.394811630249023,,9.260180473327637,,4.645285606384277,5.670000076293945,15.780661582946777,6.9387526512146,4.730166912078857,6.731654167175293,17.494159698486328,21.418790817260742,16.016889572143555,78.95431518554688,3.9890477657318115,,15.04919719696045,,
2019-01-07,,,13.120274543762207,12.6884126663208,,27.38912582397461,50.127052307128906,13.205926895141602,10.513726234436035,42.11357879638672,,13.608122825622559,,3.454832077026367,,7.706209659576416,10.977550506591797,,6.294453144073486,,39.674930572509766,20.848119735717773,18.87910270690918,,,34.84606170654297,,,6.081944465637207,1.6826341152191162,6.7811126708984375,,6.983368396759033,,60.125484466552734,,13.713757514953613,21.59000015258789,11.242377281188965,,22.38795280456543,13.783269882202148,27.726640701293945,18.905963897705078,27.383623123168945,8.54643726348877,16.544668197631836,2.7912673950195312,,5.59460973739624,,,16.100000381469727,11.446955680847168,5.4953742027282715,10.636565208435059,6.80816125869751,,,23.436113357543945,,10.030302047729492,4.239999771118164,17.355491638183594,15.064574241638184,19.975194931030273,,9.022994041442871,,4.619479656219482,5.699999809265137,16.30414581298828,6.898817539215088,4.646889686584473,6.722394943237305,17.963045120239258,21.614477157592773,15.963261604309082,78.95431518554688,4.044450759887695,,14.98554515838623,,
2019-01-08,,,13.02950382232666,12.206574440002441,,27.38912582397461,51.57752227783203,13.05743408203125,10.678681373596191,41.887638092041016,,13.574728965759277,,3.370568037033081,,7.706209659576416,11.378691673278809,,6.494382381439209,,41.51337814331055,20.89775848388672,18.328861236572266,,,35.96733474731445,,,5.991580486297607,1.6741786003112793,6.848086833953857,,6.8297882080078125,,58.154319763183594,,13.982344627380371,22.93000030517578,11.43147087097168,,22.674089431762695,14.048663139343262,27.681848526000977,19.12944221496582,27.40219497680664,8.433612823486328,16.18593406677246,2.849017858505249,,5.5496368408203125,,,16.0,11.063100814819336,5.4510884284973145,11.051525115966797,6.758345603942871,,,23.65425682067871,,10.192081451416016,4.039999961853027,17.180553436279297,14.947304725646973,19.68225860595703,,9.092171669006348,,4.567864418029785,5.539999961853027,16.55160903930664,6.988672256469727,4.630234241485596,6.824249267578125,17.74370765686035,21.20531463623047,15.918570518493652,78.95431518554688,4.099854469299316,,14.685470581054688,,
2019-01-09,,,13.079015731811523,12.590258598327637,,27.38912582397461,52.751258850097656,13.00793743133545,10.591862678527832,42.0232048034668,,13.524638175964355,,3.5390961170196533,,7.755927562713623,11.95789909362793,,6.337771892547607,,44.26116943359375,20.848119735717773,18.442703247070312,,,36.74360275268555,,,6.0898027420043945,1.6149905920028687,7.007150173187256,,6.8297882080078125,,58.51091384887695,,14.96190071105957,23.549999237060547,11.723703384399414,,22.890857696533203,14.442473411560059,27.41309356689453,18.843393325805664,28.04290771484375,8.62165355682373,15.80770492553711,2.8971431255340576,,5.621592998504639,,,16.200000762939453,11.234743118286133,5.432889461517334,11.508830070495605,6.824767112731934,,,25.333005905151367,,10.192081451416016,4.010000228881836,17.594877243041992,14.757869720458984,19.713926315307617,,9.467720031738281,,4.645285606384277,5.639999866485596,16.394567489624023,6.988672256469727,4.65521764755249,7.111293792724609,18.110759735107422,20.947362899780273,16.293964385986328,78.95431518554688,4.219894886016846,,14.894613265991211,,
2019-01-10,,,13.285308837890625,12.795487403869629,,27.38912582397461,52.579490661621094,13.215826988220215,10.557135581970215,42.29431915283203,,13.482894897460938,,3.623361110687256,,7.855362415313721,12.429482460021973,,6.437736511230469,,45.96124267578125,20.848119735717773,18.404754638671875,,,36.79535675048828,,,6.225350379943848,1.6319013833999634,7.24155855178833,,6.820754528045654,,59.43210983276367,,15.009297370910645,23.450000762939453,11.758084297180176,,23.00358009338379,14.579447746276855,27.681848526000977,19.200952529907227,27.903621673583984,8.574642181396484,15.940279960632324,2.8875179290771484,,5.72053337097168,,,16.200000762939453,11.234743118286133,5.485668659210205,11.398737907409668,6.89118766784668,,,25.70290184020996,,9.771454811096191,4.420000076293945,17.751401901245117,14.586477279663086,20.19687843322754,,9.546781539916992,,4.679696083068848,5.869999885559082,16.06144142150879,6.888833999633789,4.588594913482666,7.565009117126465,18.373737335205078,21.036312103271484,16.276086807250977,78.95431518554688,4.18295955657959,,15.321992874145508,,
2019-01-11,,,13.656637191772461,13.009639739990234,,27.38912582397461,50.77595138549805,13.00793743133545,10.834954261779785,43.089599609375,,13.366016387939453,,3.623361110687256,,7.855362415313721,12.52341079711914,,6.267796039581299,,44.55769348144531,20.69920539855957,18.4616756439209,,,35.975955963134766,,,6.1565937995910645,1.6488124132156372,7.199700355529785,,6.820754528045654,,58.44157409667969,,15.001398086547852,22.950000762939453,12.205028533935547,,23.558507919311523,14.793473243713379,29.545223236083984,19.084749221801758,27.37433624267578,8.772085189819336,16.48617935180664,2.8297677040100098,,5.59460973739624,,,15.800000190734863,11.290919303894043,5.387087345123291,11.297115325927734,7.0074238777160645,,,25.958980560302734,,10.336710929870605,4.510000228881836,17.769813537597656,14.793952941894531,20.283967971801758,,9.7345552444458,,4.645285606384277,5.849999904632568,16.10902976989746,6.988672256469727,4.621906757354736,7.731680870056152,18.2484073638916,20.840625762939453,16.33865737915039,78.95431518554688,4.164491653442383,,15.722092628479004,,
2019-01-14,,,13.904191017150879,13.19701862335205,,29.335710525512695,49.669010162353516,13.01783561706543,11.017273902893066,43.29745864868164,,13.432804107666016,,3.370568037033081,,8.402254104614258,12.478402137756348,,6.271128177642822,,45.07167053222656,21.74161148071289,18.87910270690918,,,35.32044219970703,,,6.307856559753418,1.6403567790985107,7.124354839324951,,6.640072822570801,,58.451480865478516,,15.009297370910645,22.670000076293945,12.720734596252441,,22.86484718322754,15.272891998291016,29.57209587097168,19.844562530517578,27.272193908691406,8.837900161743164,17.2933292388916,2.9837684631347656,,5.729527950286865,,,15.899999618530273,11.31900405883789,5.429553031921387,11.754419326782227,7.0572404861450195,,,27.125572204589844,,10.336710929870605,4.820000171661377,18.01840591430664,14.694725036621094,20.260217666625977,,10.080452919006348,,4.679696083068848,5.699999809265137,16.366012573242188,6.848898887634277,4.763477802276611,7.78723669052124,17.975353240966797,20.55599021911621,16.88387107849121,78.95431518554688,4.127555847167969,,15.949422836303711,,
2019-01-15,,,13.615379333496094,13.161327362060547,,29.335710525512695,49.71672439575195,13.13663101196289,10.956501007080078,42.203948974609375,,13.5496826171875,,3.5390961170196533,,8.203384399414062,12.664297103881836,,6.181159496307373,,45.71413803100586,22.03944206237793,18.271934509277344,,,35.19106674194336,,,6.2273149490356445,1.6065350770950317,7.199700355529785,,6.49552583694458,,58.897220611572266,,14.969799041748047,22.43000030517578,12.59180736541748,,22.830162048339844,15.641018867492676,29.57209587097168,19.40654945373535,26.770761489868164,8.649859428405762,18.20966148376465,2.858642816543579,,5.585615158081055,,,15.199999809265137,11.219141006469727,5.367977619171143,11.686671257019043,7.0572404861450195,,,27.50494956970215,,10.350300788879395,4.980000019073486,18.138099670410156,14.622559547424316,20.188962936401367,,9.971742630004883,,4.696900844573975,5.5,16.1804141998291,6.888833999633789,4.763477802276611,7.768718719482422,18.051448822021484,20.057878494262695,16.96431541442871,78.95431518554688,4.109087944030762,,16.09491539001465,,
