Date,ORVR3.SA,EGIE3.SA,SBSP3.SA,AESB3.SA,AMBP3.SA,CPLE3.SA,AURE3.SA,CMIG3.SA,ENBR3.SA,EQTL3.SA,SAPR11.SA,LIGT3.SA,TRPL4.SA,CMIG4.SA,ELET3.SA,ELET6.SA,CSMG3.SA,CPLE6.SA,MEGA3.SA,ENGI11.SA,TAEE11.SA,ENEV3.SA,NEOE3.SA,ALUP11.SA,CPFE3.SA
2019-01-02,,27.824552536010742,32.134254455566406,,,2.3019514083862305,,8.354745864868164,12.525094985961914,14.012152671813965,17.62493133544922,16.060245513916016,13.17359733581543,7.353269577026367,19.704322814941406,25.630231857299805,16.197368621826172,2.3345448970794678,,38.0,18.248239517211914,4.177499771118164,,17.20716667175293,22.13699722290039
2019-01-03,,28.737367630004883,34.611881256103516,,,2.3172976970672607,,8.178010940551758,13.046236038208008,14.403092384338379,18.826963424682617,16.75641441345215,13.361788749694824,7.199005126953125,25.147552490234375,27.171541213989258,16.476633071899414,2.3610308170318604,,38.20000076293945,18.30099868774414,4.199999809265137,,17.23481559753418,21.869274139404297
2019-01-04,,29.354339599609375,35.397239685058594,,,2.2467048168182373,,8.37081241607666,13.14339828491211,14.590147018432617,18.766136169433594,16.891780853271484,13.851095199584961,7.127015590667725,24.766281127929688,26.980863571166992,16.60356903076172,2.2830865383148193,,38.5,19.024599075317383,4.237500190734863,,17.004405975341797,21.9151668548584
2019-01-07,,29.172531127929688,34.593177795410156,,,2.269724130630493,,8.086965560913086,12.763581275939941,14.683672904968262,18.467803955078125,16.71773910522461,13.738181114196777,6.916187286376953,23.525127410888672,25.82090950012207,16.103431701660156,2.307302713394165,,38.0,18.70802116394043,4.244999885559082,,16.7463436126709,21.63214874267578
2019-01-08,,29.503093719482422,34.72407150268555,,,2.2866051197052,,8.081609725952148,12.807745933532715,14.721083641052246,18.392494201660156,16.737077713012695,13.69865894317627,6.880192279815674,24.72572135925293,26.686906814575195,16.255760192871094,2.3458962440490723,,37.79999923706055,18.692943572998047,4.247499942779541,,16.921457290649414,21.64744758605957
2019-01-09,,30.288188934326172,35.154144287109375,,,2.304253578186035,,8.14587688446045,12.88724422454834,14.954899787902832,18.71689796447754,17.123836517333984,13.751351356506348,6.98817777633667,24.82306671142578,26.95703125,16.128822326660156,2.3844897747039795,,37.95000076293945,18.692943572998047,4.269999980926514,,17.280899047851562,21.876924514770508
2019-01-10,,29.93283462524414,35.36919021606445,,,2.310391902923584,,8.376168251037598,13.010904312133789,15.149435997009277,18.942821502685547,17.636295318603516,13.916962623596191,7.1115875244140625,25.147552490234375,27.30660629272461,16.095813751220703,2.373138666152954,,38.77000045776367,18.84369659423828,4.322500228881836,,17.62190818786621,21.800430297851562
2019-01-11,,30.42868423461914,36.92121124267578,,,2.360267400741577,,8.477924346923828,13.06390380859375,15.213032722473145,19.695898056030273,17.8876895904541,14.116448402404785,7.127015590667725,25.115100860595703,27.25098991394043,16.00188446044922,2.4980008602142334,,38.5,19.21303367614746,4.34250020980835,,17.640338897705078,21.64744758605957
2019-01-14,,30.83362579345703,38.89395523071289,,,2.428558826446533,,8.756416320800781,13.214061737060547,15.564693450927734,20.85448455810547,18.274450302124023,14.033645629882812,7.168150901794434,25.098878860473633,27.084148406982422,16.48932647705078,2.5880532264709473,,39.20000076293945,19.235645294189453,4.387499809265137,,17.741722106933594,21.502111434936523
2019-01-15,,30.70966148376465,38.89395523071289,,,2.4093761444091797,,8.676081657409668,13.51438045501709,15.63016128540039,21.141231536865234,18.2164363861084,13.672309875488281,7.1115875244140625,24.401235580444336,26.10692596435547,16.740663528442383,2.5290274620056152,,39.150001525878906,18.956758499145508,4.400000095367432,,17.53896141052246,21.410316467285156
2019-01-16,,30.57744026184082,38.117942810058594,,,2.3771486282348633,,8.649304389953613,13.646875381469727,15.63016128540039,20.85448455810547,17.849014282226562,13.826630592346191,7.024172306060791,24.863628387451172,26.631290435791016,16.370006561279297,2.459407329559326,,39.25,19.0396728515625,4.420000076293945,,17.62190818786621,21.540355682373047
2019-01-17,,31.04022979736328,38.50127410888672,,,2.4323954582214355,,8.793904304504395,13.646875381469727,15.6226806640625,21.613353729248047,18.081071853637695,13.738181114196777,7.229857921600342,25.106992721557617,26.94908332824707,16.273529052734375,2.519946575164795,,39.70000076293945,18.88892364501953,4.434999942779541,,17.732505798339844,22.106399536132812
2019-01-18,,31.808795928955078,38.02444839477539,,,2.384054660797119,,8.697504043579102,13.841200828552246,15.48799991607666,21.286056518554688,18.110076904296875,13.905674934387207,7.137299060821533,26.250795364379883,28.355329513549805,15.59821605682373,2.4790825843811035,,39.61000061035156,19.145198822021484,4.377500057220459,,17.741722106933594,23.330286026000977
2019-01-21,,31.95755386352539,38.809810638427734,,,2.405539035797119,,8.836750984191895,13.779369354248047,15.740522384643555,20.85448455810547,18.65154266357422,13.905674934387207,7.250425338745117,26.35625457763672,28.49039649963379,15.707385063171387,2.4896767139434814,,40.20000076293945,19.0396728515625,4.362500190734863,,17.787803649902344,23.50621795654297
2019-01-22,,32.18069076538086,38.678916931152344,,,2.428558826446533,,8.809971809387207,13.779369354248047,15.338357925415039,20.74152183532715,18.516176223754883,13.977185249328613,7.235000133514404,26.104778289794922,28.44272804260254,15.661689758300781,2.5275137424468994,,40.20000076293945,19.145198822021484,4.425000190734863,,17.94448471069336,23.705097198486328
