SMLL - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON      NM;93.139.429;0,164;5,053;
Consumo Cíclico/Constr Civil;MTRE3;MITRE REALTY;ON      NM;54.034.454;0,098;5,053;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;294.647.234;0,914;5,053;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;66.384.300;0,056;5,053;
Consumo Cíclico/Constr Civil;TCSA3;TECNISA;ON      NM;50.442.218;0,038;5,053;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;96.139.516;0,146;5,053;
Consumo Cíclico/Constr Civil;TRIS3;TRISUL;ON      NM;83.225.626;0,103;5,053;
Consumo Cíclico/Constr Civil;VIVR3;VIVER;ON      NM;142.902.713;0,042;5,053;
Consumo Cíclico/Hotel e Restaur;BKBR3;BK BRASIL;ON      NM;272.582.179;0,662;0,832;
Consumo Cíclico/Hotel e Restaur;MEAL3;IMC S/A;ON      NM;264.997.832;0,170;0,832;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;224.231.429;0,778;0,778;
Diversos;ANIM3;ANIMA;ON      NM;272.810.577;0,490;4,715;
Diversos;COGN3;COGNA ON;ON      NM;1.828.106.676;1,645;4,715;
Diversos;CSED3;CRUZEIRO EDU;ON      NM;77.755.200;0,095;4,715;
Diversos;MOVI3;MOVIDA;ON      NM;133.201.362;0,749;4,715;
Diversos;SEER3;SER EDUCA;ON      NM;54.338.507;0,144;4,715;
Diversos;YDUQ3;YDUQS PART;ON      NM;300.833.122;1,592;4,715;
Financ e Outros / Explor Imóveis;ALSO3;ALIANSCSONAE;ON      NM;126.260.263;0,815;7,717;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;2,425;7,717;
Financ e Outros / Explor Imóveis;BRPR3;BR PROPERT;ON      NM;187.579.163;0,583;7,717;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;180.013.980;1,170;7,717;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;59.190.591;0,435;7,717;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;272.718.548;2,188;7,717;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,101;7,717;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;226.076.396;0,909;0,909;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;67.592.406;0,384;1,482;
Financ e Outros / Interms Financs;BMGB4;BANCO BMG;PN      N1;100.178.101;0,093;1,482;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.535.840;0,716;1,482;
Financ e Outros / Interms Financs;MODL11;MODALMAIS;UNT     N2;97.061.509;0,289;1,482;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;1,244;4,022;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;283.167.854;2,552;4,022;
Financ e Outros / Previd  Seguros;WIZS3;WIZ S.A.;ON      NM;77.540.728;0,226;4,022;
Financeiro e Outros/Serviços Financeiros Diversos;BOAS3;BOA VISTA;ON      NM;531.732.464;1,069;2,894;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.144.359.228;1,518;2,894;
Financeiro e Outros/Serviços Financeiros Diversos;CLSA3;CLEARSALE;ON      NM;53.239.587;0,077;2,894;
Financeiro e Outros/Serviços Financeiros Diversos;CARD3;CSU CARDSYST;ON      NM;18.493.267;0,087;2,894;
Financeiro e Outros/Serviços Financeiros Diversos;GETT11;GETNET BR;UNT;90.675.851;0,143;2,894;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;106.103.165;0,262;0,262;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;295.712.871;1,136;1,136;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;191.350.000;0,946;0,946;
Mats Básicos / Químicos;DEXP3;DEXXOS PAR;ON      N1;53.766.810;0,162;1,848;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.364.157;1,686;1,848;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN  EDJ N1;40.165.900;0,773;3,782;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;698.275.321;2,909;3,782;
Mats Básicos / Sid Metalurgia;PMAM3;PARANAPANEMA;ON      NM;43.403.849;0,100;3,782;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.372.163;3,253;6,363;
Petróleo/ Gás e Biocombustíveis;DMMO3;DOMMO;ON;509.611.156;0,280;6,363;
Petróleo/ Gás e Biocombustíveis;ENAT3;ENAUTA PART;ON      NM;76.634.938;0,545;6,363;
Petróleo/ Gás e Biocombustíveis;OPCT3;OCEANPACT;ON      NM;123.217.826;0,093;6,363;
