Date,EZTC3.SA,CYRE3.SA,RAPT4.SA,POMO4.SA,GGBR4.SA,BEEF3.SA,WEGE3.SA,TASA4.SA,AERI3.SA,JHSF3.SA,JBSS3.SA,MDIA3.SA,TEND3.SA,GRND3.SA,CAML3.SA,DXCO3.SA,UNIP6.SA,EMBR3.SA,INTB3.SA,MRFG3.SA,BRKM5.SA,SUZB3.SA,PTBL3.SA,CSNA3.SA,MRVE3.SA,FESA4.SA,RCSL3.SA,POSI3.SA,DIRR3.SA,TUPY3.SA,MYPK3.SA,ALPA4.SA,BRFS3.SA,GOAU4.SA,SMTO3.SA,USIM5.SA,NTCO3.SA,KLBN11.SA,ABEV3.SA,VIVA3.SA
2019-01-02,20.410642623901367,13.095519065856934,8.550841331481934,3.8579959869384766,13.069727897644043,4.370009899139404,8.456271171569824,5.980000019073486,,1.6910896301269531,10.45295238494873,40.6314697265625,15.404703140258789,6.94854736328125,6.594902038574219,11.018180847167969,23.27631187438965,21.540000915527344,,4.705183982849121,38.714088439941406,37.325096130371094,4.611843109130859,7.811670303344727,10.704313278198242,18.103418350219727,2.680000066757202,2.3100664615631104,6.791556358337402,18.94161605834961,21.578899383544922,13.824352264404297,22.3799991607666,5.620530128479004,16.535289764404297,8.779831886291504,,15.014704704284668,14.685470581054688,
2019-01-03,20.473981857299805,13.310063362121582,8.550841331481934,3.8670947551727295,12.983742713928223,4.473238468170166,8.649102210998535,8.399999618530273,,1.6741786003112793,10.617908477783203,41.6978645324707,15.414222717285156,6.915060043334961,6.856890678405762,11.009090423583984,22.99884796142578,21.899999618530273,,4.738494873046875,38.94648361206055,35.72959899902344,4.654545307159424,7.90496826171875,10.695843696594238,18.243488311767578,2.6500000953674316,2.338942289352417,6.783253192901611,18.756906509399414,21.525529861450195,13.848052024841309,21.489999771118164,5.64408016204834,16.21352195739746,8.590923309326172,,15.401350021362305,14.849148750305176,
2019-01-04,20.394811630249023,13.194538116455078,8.586996078491211,3.912590742111206,13.327683448791504,4.645285606384277,8.747868537902832,7.199999809265137,,1.6403567790985107,10.895727157592773,41.65267562866211,15.780661582946777,6.772740840911865,6.893026351928711,11.0,22.992679595947266,20.799999237060547,,4.730166912078857,38.51374435424805,36.32911682128906,4.569140911102295,8.269681930541992,10.54340934753418,18.40106201171875,2.5,2.3196916580200195,6.758345603942871,18.766141891479492,21.418790817260742,13.745356559753418,21.450000762939453,5.785378456115723,16.016889572143555,9.094680786132812,,15.649906158447266,15.04919719696045,
2019-01-07,19.975194931030273,13.120274543762207,8.695463180541992,3.9034910202026367,13.362077713012695,4.619479656219482,8.611474990844727,6.349999904632568,,1.6826341152191162,10.513726234436035,42.11357879638672,16.30414581298828,6.7811126708984375,6.983368396759033,11.0,22.937185287475586,21.229999542236328,,4.646889686584473,38.24128341674805,34.665924072265625,4.646005153656006,8.286646842956543,10.636565208435059,18.786237716674805,2.6500000953674316,2.2330641746520996,6.80816125869751,18.923141479492188,21.614477157592773,13.713757514953613,21.59000015258789,5.8246283531188965,15.963261604309082,9.112674713134766,,15.649906158447266,14.98554515838623,
2019-01-08,19.68225860595703,13.02950382232666,8.541802406311035,3.812500476837158,13.379273414611816,4.567864418029785,8.540928840637207,7.340000152587891,,1.6741786003112793,10.678681373596191,41.887638092041016,16.55160903930664,6.848086833953857,6.8297882080078125,10.872727394104004,23.584606170654297,21.360000610351562,,4.630234241485596,38.21724319458008,35.00436782836914,4.671626567840576,8.312090873718262,11.051525115966797,19.180171966552734,2.680000066757202,2.1849377155303955,6.758345603942871,19.117084503173828,21.20531463623047,13.982344627380371,22.93000030517578,5.785378456115723,15.918570518493652,8.858073234558105,,15.714347839355469,14.685470581054688,
2019-01-09,19.713926315307617,13.079015731811523,8.695463180541992,3.8488972187042236,13.757607460021973,4.645285606384277,8.634993553161621,7.690000057220459,,1.6149905920028687,10.591862678527832,42.0232048034668,16.394567489624023,7.007150173187256,6.8297882080078125,11.018180847167969,23.381134033203125,21.280000686645508,,4.65521764755249,38.47367477416992,37.10269546508789,4.680166721343994,8.379945755004883,11.508830070495605,19.258960723876953,2.640000104904175,2.1945629119873047,6.824767112731934,19.375673294067383,20.947362899780273,14.96190071105957,23.549999237060547,5.926676273345947,16.293964385986328,9.14820384979248,,16.06416893005371,14.894613265991211,
2019-01-10,20.19687843322754,13.285308837890625,8.586996078491211,3.821599245071411,13.405070304870605,4.679696083068848,8.700837135314941,7.699999809265137,,1.6319013833999634,10.557135581970215,42.29431915283203,16.06144142150879,7.24155855178833,6.820754528045654,10.909090042114258,23.22698402404785,20.989999771118164,,4.588594913482666,38.07299041748047,37.57651138305664,4.6630859375,8.464761734008789,11.398737907409668,19.53033447265625,2.690000057220459,2.165687322616577,6.89118766784668,19.070907592773438,21.036312103271484,15.009297370910645,23.450000762939453,5.903126239776611,16.276086807250977,9.365800857543945,,16.008935928344727,15.321992874145508,
2019-01-11,20.283967971801758,13.656637191772461,8.78585433959961,3.7215099334716797,13.08692455291748,4.645285606384277,8.79019546508789,7.860000133514404,,1.6488124132156372,10.834954261779785,43.089599609375,16.10902976989746,7.199700355529785,6.820754528045654,10.927271842956543,23.091333389282227,21.530000686645508,,4.621906757354736,38.60991287231445,37.57651138305664,4.6203837394714355,8.362981796264648,11.297115325927734,19.38151741027832,2.7300000190734863,2.252314567565918,7.0074238777160645,19.13555335998535,20.840625762939453,15.001398086547852,22.950000762939453,5.761828899383545,16.33865737915039,9.229803085327148,,15.797199249267578,15.722092628479004,
2019-01-14,20.260217666625977,13.904191017150879,8.523723602294922,3.803401470184326,13.069727897644043,4.679696083068848,8.888961791992188,8.300000190734863,,1.6403567790985107,11.017273902893066,43.29745864868164,16.366012573242188,7.124354839324951,6.640072822570801,11.581817626953125,23.005008697509766,21.6200008392334,,4.763477802276611,38.69004821777344,37.71188735961914,4.628924369812012,8.286646842956543,11.754419326782227,19.41653060913086,2.690000057220459,2.242689371109009,7.0572404861450195,18.618377685546875,20.55599021911621,15.009297370910645,22.670000076293945,5.761828899383545,16.88387107849121,8.948738098144531,,16.404783248901367,15.949422836303711,
2019-01-15,20.188962936401367,13.615379333496094,8.342945098876953,3.803401470184326,12.811772346496582,4.696900844573975,8.714947700500488,9.220000267028809,,1.6065350770950317,10.956501007080078,42.203948974609375,16.1804141998291,7.199700355529785,6.49552583694458,11.236363410949707,22.980350494384766,21.760000228881836,,4.763477802276611,38.73011779785156,40.902889251708984,4.893677711486816,8.15942096710205,11.686671257019043,19.609121322631836,2.6500000953674316,2.2330641746520996,7.0572404861450195,18.544496536254883,20.057878494262695,14.969799041748047,22.43000030517578,5.65192985534668,16.96431541442871,8.83087158203125,,16.883485794067383,16.09491539001465,
