Date,ALSO3.SA,EZTC3.SA,CYRE3.SA,LAVV3.SA,EVEN3.SA,CURY3.SA,BRPR3.SA,MTRE3.SA,JHSF3.SA,TEND3.SA,TCSA3.SA,BRML3.SA,MULT3.SA,PLPL3.SA,VIVR3.SA,MRVE3.SA,HBOR3.SA,DIRR3.SA,IGTI11.SA,LOGG3.SA,TRIS3.SA,SYNE3.SA,GFSA3.SA
2019-01-02,25.979900360107422,20.410642623901367,13.095519065856934,,5.495669364929199,,7.9420247077941895,,1.6910896301269531,15.404703140258789,15.100000381469727,12.52165699005127,23.437692642211914,,3.707624912261963,10.704313278198242,7.954797267913818,6.791556358337402,,15.899384498596191,3.9705796241760254,8.550000190734863,15.290092468261719
2019-01-03,26.495529174804688,20.473981857299805,13.310063362121582,,5.630588054656982,,7.9420247077941895,,1.6741786003112793,15.414222717285156,15.399999618530273,12.605381965637207,23.606985092163086,,3.623361110687256,10.695843696594238,7.755927562713623,6.783253192901611,,15.663487434387207,3.998281240463257,8.470000267028809,15.281070709228516
2019-01-04,25.93031883239746,20.394811630249023,13.194538116455078,,5.567625999450684,,7.9420247077941895,,1.6403567790985107,15.780661582946777,15.699999809265137,12.363507270812988,23.127321243286133,,3.623361110687256,10.54340934753418,7.855362415313721,6.758345603942871,,15.182259559631348,3.9890477657318115,8.5,15.208905220031738
2019-01-07,26.406286239624023,19.975194931030273,13.120274543762207,,5.59460973739624,,7.922653675079346,,1.6826341152191162,16.30414581298828,16.100000381469727,12.289084434509277,22.798141479492188,,3.454832077026367,10.636565208435059,7.706209659576416,6.80816125869751,,14.738773345947266,4.044450759887695,8.699999809265137,15.064574241638184
2019-01-08,26.227800369262695,19.68225860595703,13.02950382232666,,5.5496368408203125,,7.835485458374023,,1.6741786003112793,16.55160903930664,16.0,12.307690620422363,22.638254165649414,,3.370568037033081,11.051525115966797,7.706209659576416,6.758345603942871,,14.974669456481934,4.099854469299316,9.199999809265137,14.947304725646973
2019-01-09,26.912002563476562,19.713926315307617,13.079015731811523,,5.621592998504639,,7.961395263671875,,1.6149905920028687,16.394567489624023,16.200000762939453,12.503049850463867,22.92041015625,,3.5390961170196533,11.508830070495605,7.755927562713623,6.824767112731934,,15.323795318603516,4.219894886016846,9.180000305175781,14.757869720458984
2019-01-10,26.971498489379883,20.19687843322754,13.285308837890625,,5.72053337097168,,8.126047134399414,,1.6319013833999634,16.06144142150879,16.200000762939453,12.410021781921387,22.732303619384766,,3.623361110687256,11.398737907409668,7.855362415313721,6.89118766784668,,16.50327491760254,4.18295955657959,9.279999732971191,14.586477279663086
2019-01-11,28.627470016479492,20.283967971801758,13.656637191772461,,5.59460973739624,,8.087305068969727,,1.6488124132156372,16.10902976989746,15.800000190734863,12.307690620422363,22.28085708618164,,3.623361110687256,11.297115325927734,7.855362415313721,7.0074238777160645,,18.494239807128906,4.164491653442383,9.449999809265137,14.793952941894531
2019-01-14,28.359737396240234,20.260217666625977,13.904191017150879,,5.729527950286865,,8.339125633239746,,1.6403567790985107,16.366012573242188,15.899999618530273,12.372810363769531,22.299665451049805,,3.370568037033081,11.754419326782227,8.402254104614258,7.0572404861450195,,19.249101638793945,4.127555847167969,10.25,14.694725036621094
2019-01-15,27.76477813720703,20.188962936401367,13.615379333496094,,5.585615158081055,,8.232585906982422,,1.6065350770950317,16.1804141998291,15.199999809265137,12.354204177856445,22.71349334716797,,3.5390961170196533,11.686671257019043,8.203384399414062,7.0572404861450195,,18.777313232421875,4.109087944030762,10.75,14.622559547424316
2019-01-16,27.76477813720703,20.030616760253906,13.491604804992676,,5.59460973739624,,8.184159278869629,,1.6065350770950317,16.1804141998291,15.199999809265137,12.279781341552734,22.76051902770996,,3.454832077026367,11.55964183807373,8.451972007751465,7.040634632110596,,18.116806030273438,4.146023750305176,10.569999694824219,14.469207763671875
2019-01-17,28.121753692626953,20.941099166870117,14.069223403930664,,6.026347637176514,,8.44566535949707,,1.6319013833999634,16.55636978149414,14.899999618530273,12.549564361572266,22.90159797668457,,3.454832077026367,11.771356582641602,8.94914722442627,7.16517448425293,,17.173221588134766,4.118321895599365,10.5,14.162504196166992
2019-01-18,28.22091293334961,21.15486717224121,14.077474594116211,,6.008358955383301,,8.35849666595459,,1.6234461069107056,16.822872161865234,15.199999809265137,12.642593383789062,22.83576202392578,,3.454832077026367,9.772767066955566,8.700559616088867,7.140267372131348,,17.85260009765625,4.146023750305176,10.5,14.460186958312988
2019-01-21,27.844104766845703,21.09152603149414,14.1847505569458,,6.026347637176514,,8.542518615722656,,1.6234461069107056,16.703895568847656,14.699999809265137,12.577473640441895,22.816951751708984,,3.5390961170196533,11.839104652404785,8.750277519226074,7.140267372131348,,18.447059631347656,4.146023750305176,10.800000190734863,14.036213874816895
2019-01-22,28.766292572021484,20.82234001159668,14.06097412109375,,5.86444616317749,,8.416608810424805,,1.6234461069107056,16.727693557739258,14.100000381469727,12.568170547485352,22.986242294311523,,3.454832077026367,11.796762466430664,8.750277519226074,6.924398422241211,,18.07906150817871,4.0075154304504395,11.0,13.855799674987793
2019-01-23,28.756376266479492,21.344879150390625,14.159994125366211,,6.062325954437256,,8.32944107055664,,1.6065350770950317,16.927568435668945,13.699999809265137,12.875164985656738,23.475311279296875,,3.454832077026367,12.279471397399902,8.65084171295166,7.190082550048828,,18.116806030273438,3.942877769470215,10.989999771118164,14.460186958312988
