IBOV - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;514.680.651;0,265;2,866;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0,468;16,136;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,191;16,136;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.706.334.382;4,582;16,136;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.442.248;6,976;16,136;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,160;16,136;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,716;16,136;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.131.883.365;1,043;16,136;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;0,806;1,930;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,124;1,930;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;0,233;3,136;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,410;3,136;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,160;3,136;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;772.010.260;1,333;3,136;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;418.965.264;0,141;0,912;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;548.153.725;0,044;0,912;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,727;0,912;
Telecomunicação;VIVT3;TELEF BRASIL;ON;413.890.875;0,985;1,518;
Telecomunicação;TIMS3;TIM;ON      NM;808.619.532;0,533;1,518;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.934;0,760;0,760;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.448.479.060;0,815;7,048;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,560;7,048;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,315;7,048;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;358.028.908;0,783;7,048;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;242.987.127;0,525;7,048;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,246;7,048;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,543;7,048;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.257.479.978;0,916;7,048;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,542;7,048;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,353;7,048;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,450;7,048;
Quantidade Teórica Total;;;;96.626.612.142;100,000;100,000
Redutor;;;;18.380.976,91783098
