Date,HYPE3.SA,SMFT3.SA,RENT3.SA,EGIE3.SA,PETR3.SA,BBSE3.SA,ITUB3.SA,TIMS3.SA,LREN3.SA,PRIO3.SA,SBSP3.SA,GGBR4.SA,SANB11.SA,CXSE3.SA,WEGE3.SA,DASA3.SA,HAPV3.SA,USIM3.SA,CPLE3.SA,JBSS3.SA,CSAN3.SA,VBBR3.SA,AURE3.SA,CMIG3.SA,VALE3.SA,RDOR3.SA,VAMO3.SA,BBDC3.SA,EQTL3.SA,ITSA4.SA,BBAS3.SA,PSSA3.SA,BPAC11.SA,CMIG4.SA,LCAM3.SA,MGLU3.SA,MRFG3.SA,TRPL4.SA,VIVT3.SA,ELET3.SA,TOTS3.SA,BRKM5.SA,ELET6.SA,SUZB3.SA,CSNA3.SA,RAIL3.SA,ASAI3.SA,RADL3.SA,B3SA3.SA,BPAN4.SA,CPLE6.SA,UGPA3.SA,ALPA4.SA,BRFS3.SA,SMTO3.SA,BRAP4.SA,AMER3.SA,ENGI11.SA,USIM5.SA,CCRO3.SA,BBDC4.SA,TAEE11.SA,ENEV3.SA,NTCO3.SA,BIDI11.SA,ABEV3.SA,ITUB4.SA,KLBN11.SA,CRFB3.SA,CMIN3.SA,NEOE3.SA,PETR4.SA,CPFE3.SA
2019-01-02,27.905807495117188,,28.665054321289062,27.824552536010742,20.59453010559082,22.072254180908203,28.156631469726562,12.149999618530273,37.56300354003906,2.071199893951416,32.134254455566406,13.069727897644043,37.30659866333008,,8.456271171569824,26.41094398498535,6.109447002410889,10.785649299621582,2.3019514083862305,10.45295238494873,7.7655510902404785,26.0,,8.354745864868164,41.41278839111328,,,19.341644287109375,14.012152671813965,10.124741554260254,40.17279052734375,19.608278274536133,4.815236568450928,7.353269577026367,12.09919548034668,5.641578674316406,4.705183982849121,13.17359733581543,32.73991775512695,19.704322814941406,9.294357299804688,38.714088439941406,25.630231857299805,37.325096130371094,7.811670303344727,16.950000762939453,,11.094959259033203,7.576513290405273,1.8584076166152954,2.3345448970794678,25.241065979003906,13.824352264404297,22.3799991607666,16.535289764404297,18.510059356689453,42.501792907714844,38.0,8.779831886291504,10.834819793701172,21.426738739013672,18.248239517211914,4.177499771118164,,,14.685470581054688,33.052764892578125,15.014704704284668,17.44756317138672,,,18.925682067871094,22.13699722290039
2019-01-03,28.308948516845703,,28.191478729248047,28.737367630004883,21.01955795288086,22.31386375427246,28.412118911743164,11.920000076293945,37.088626861572266,2.0757999420166016,34.611881256103516,12.983742713928223,38.53819274902344,,8.649102210998535,26.41094398498535,5.969971656799316,10.794751167297363,2.3172976970672607,10.617908477783203,7.883012771606445,26.600000381469727,,8.178010940551758,39.71866989135742,,,19.746845245361328,14.403092384338379,10.212782859802246,40.33811950683594,18.986209869384766,5.014420986175537,7.199005126953125,11.983728408813477,5.581215858459473,4.738494873046875,13.361788749694824,32.34150695800781,25.147552490234375,9.508469581604004,38.94648361206055,27.171541213989258,35.72959899902344,7.90496826171875,17.440000534057617,,11.069519996643066,7.906403064727783,1.802655577659607,2.3610308170318604,24.77191925048828,13.848052024841309,21.489999771118164,16.21352195739746,17.80156707763672,42.93669509887695,38.20000076293945,8.590923309326172,11.18695068359375,21.644824981689453,18.30099868774414,4.199999809265137,,,14.849148750305176,33.597686767578125,15.401350021362305,18.193344116210938,,,19.38977813720703,21.869274139404297
2019-01-04,28.17456817626953,,27.903621673583984,29.354339599609375,21.259117126464844,22.09563446044922,27.936378479003906,11.979999542236328,35.66545486450195,2.0931999683380127,35.397239685058594,13.327683448791504,38.49740982055664,,8.747868537902832,27.38912582397461,5.991580486297607,11.158824920654297,2.2467048168182373,10.895727157592773,7.8373332023620605,26.700000762939453,,8.37081241607666,42.3044319152832,,,19.31403350830078,14.590147018432617,10.180769920349121,40.33811950683594,18.17940902709961,5.192333221435547,7.127015590667725,11.921311378479004,5.411353588104248,4.730166912078857,13.851095199584961,32.09932327270508,24.766281127929688,9.771241188049316,38.51374435424805,26.980863571166992,36.32911682128906,8.269681930541992,17.200000762939453,,11.228021621704102,7.6201348304748535,1.8305314779281616,2.2830865383148193,24.604698181152344,13.745356559753418,21.450000762939453,16.016889572143555,19.00421714782715,41.51337814331055,38.5,9.094680786132812,11.060544967651367,21.474977493286133,19.024599075317383,4.237500190734863,,,15.04919719696045,33.034908294677734,15.649906158447266,17.67774200439453,,,19.44483757019043,21.9151668548584
2019-01-07,27.726640701293945,,27.383623123168945,29.172531127929688,21.94689178466797,21.768291473388672,28.297588348388672,12.369999885559082,34.84606170654297,2.091399908065796,34.593177795410156,13.362077713012695,39.14174270629883,,8.611474990844727,27.38912582397461,6.081944465637207,11.122416496276855,2.269724130630493,10.513726234436035,7.722046852111816,26.850000381469727,,8.086965560913086,42.07747268676758,,,19.476341247558594,14.683672904968262,10.172765731811523,40.0736083984375,18.545108795166016,5.298694133758545,6.916187286376953,11.446955680847168,5.4953742027282715,4.646889686584473,13.738181114196777,32.18526077270508,23.525127410888672,9.560375213623047,38.24128341674805,25.82090950012207,34.665924072265625,8.286646842956543,16.899999618530273,,10.977550506591797,7.579240798950195,1.8119473457336426,2.307302713394165,23.852203369140625,13.713757514953613,21.59000015258789,15.963261604309082,19.153057098388672,39.674930572509766,38.0,9.112674713134766,10.744527816772461,21.729734420776367,18.70802116394043,4.244999885559082,,,14.98554515838623,33.097442626953125,15.649906158447266,17.355491638183594,,,19.751617431640625,21.63214874267578
2019-01-08,27.681848526000977,,27.40219497680664,29.503093719482422,21.830976486206055,21.448741912841797,28.368072509765625,12.84000015258789,35.96733474731445,2.141400098800659,34.72407150268555,13.379273414611816,38.85340881347656,,8.540928840637207,27.38912582397461,5.991580486297607,11.124236106872559,2.2866051197052,10.678681373596191,7.806880474090576,25.950000762939453,,8.081609725952148,42.48276138305664,,,19.69274139404297,14.721083641052246,10.308826446533203,39.61896896362305,19.00128936767578,5.638748645782471,6.880192279815674,11.063100814819336,5.4510884284973145,4.630234241485596,13.69865894317627,31.482181549072266,24.72572135925293,9.171082496643066,38.21724319458008,26.686906814575195,35.00436782836914,8.312090873718262,17.1200008392334,,11.378691673278809,7.60105037689209,1.8119473457336426,2.3458962440490723,23.45737648010254,13.982344627380371,22.93000030517578,15.918570518493652,19.016122817993164,41.51337814331055,37.79999923706055,8.858073234558105,11.051513671875,21.862438201904297,18.692943572998047,4.247499942779541,,,14.685470581054688,33.517303466796875,15.714347839355469,17.180553436279297,,,19.63362693786621,21.64744758605957
2019-01-09,27.41309356689453,,28.04290771484375,30.288188934326172,22.27145767211914,20.770675659179688,28.632369995117188,12.989999771118164,36.74360275268555,2.1670000553131104,35.154144287109375,13.757607460021973,39.38977813720703,,8.634993553161621,27.38912582397461,6.0898027420043945,11.298196792602539,2.304253578186035,10.591862678527832,8.444221496582031,26.010000228881836,,8.14587688446045,43.52031326293945,,,20.10391616821289,14.954899787902832,10.444890975952148,39.51150131225586,18.92588996887207,5.647354602813721,6.98817777633667,11.234743118286133,5.432889461517334,4.65521764755249,13.751351356506348,31.810291290283203,24.82306671142578,9.524688720703125,38.47367477416992,26.95703125,37.10269546508789,8.379945755004883,17.200000762939453,,11.95789909362793,7.6364922523498535,1.8212393522262573,2.3844897747039795,24.209871292114258,14.96190071105957,23.549999237060547,16.293964385986328,19.528141021728516,44.26116943359375,37.95000076293945,9.14820384979248,11.466850280761719,22.239286422729492,18.692943572998047,4.269999980926514,,,14.894613265991211,34.02647399902344,16.06416893005371,17.594877243041992,,,20.042659759521484,21.876924514770508
2019-01-10,27.681848526000977,,27.903621673583984,29.93283462524414,22.16326904296875,21.355215072631836,28.632369995117188,12.5,36.79535675048828,2.1791999340057373,35.36919021606445,13.405070304870605,39.80044174194336,,8.700837135314941,27.38912582397461,6.225350379943848,11.298196792602539,2.310391902923584,10.557135581970215,8.644342422485352,25.75,,8.376168251037598,43.04206848144531,,,20.163423538208008,15.149435997009277,10.372857093811035,40.09013366699219,19.246347427368164,5.578510284423828,7.1115875244140625,11.234743118286133,5.485668659210205,4.588594913482666,13.916962623596191,31.247821807861328,25.147552490234375,9.699871063232422,38.07299041748047,27.30660629272461,37.57651138305664,8.464761734008789,17.469999313354492,,12.429482460021973,7.707377910614014,1.8955756425857544,2.373138666152954,24.83694839477539,15.009297370910645,23.450000762939453,16.276086807250977,19.468605041503906,45.96124267578125,38.77000045776367,9.365800857543945,11.65645980834961,22.17028045654297,18.84369659423828,4.322500228881836,,,15.321992874145508,33.794219970703125,16.008935928344727,17.751401901245117,,,19.86960792541504,21.800430297851562
2019-01-11,29.545223236083984,,27.37433624267578,30.42868423461914,22.024171829223633,21.628002166748047,28.30640983581543,12.460000038146973,35.975955963134766,2.2058000564575195,36.92121124267578,13.08692455291748,39.71662902832031,,8.79019546508789,27.38912582397461,6.1565937995910645,11.179171562194824,2.360267400741577,10.834954261779785,8.472498893737793,25.799999237060547,,8.477924346923828,42.45844268798828,,,20.082277297973633,15.213032722473145,10.24479866027832,40.255455017089844,20.286893844604492,5.572056770324707,7.127015590667725,11.290919303894043,5.387087345123291,4.621906757354736,14.116448402404785,31.599361419677734,25.115100860595703,9.793949127197266,38.60991287231445,27.25098991394043,37.57651138305664,8.362981796264648,17.420000076293945,,12.52341079711914,7.8709588050842285,1.9048677682876587,2.4980008602142334,24.70688819885254,15.001398086547852,22.950000762939453,16.33865737915039,19.403114318847656,44.55769348144531,38.5,9.229803085327148,12.098880767822266,22.0269718170166,19.21303367614746,4.34250020980835,,,15.722092628479004,33.5887565612793,15.797199249267578,17.769813537597656,,,19.657224655151367,21.64744758605957
2019-01-14,29.57209587097168,,27.272193908691406,30.83362579345703,21.94689178466797,21.822847366333008,28.632369995117188,12.460000038146973,35.32044219970703,2.1898000240325928,38.89395523071289,13.069727897644043,40.53794860839844,,8.888961791992188,29.335710525512695,6.307856559753418,10.968588829040527,2.428558826446533,11.017273902893066,8.52687931060791,26.299999237060547,,8.756416320800781,42.63677215576172,,,20.10391616821289,15.564693450927734,10.396870613098145,41.189510345458984,20.678983688354492,5.5161213874816895,7.168150901794434,11.31900405883789,5.429553031921387,4.763477802276611,14.033645629882812,31.325946807861328,25.098878860473633,10.07943058013916,38.69004821777344,27.084148406982422,37.71188735961914,8.286646842956543,18.0,,12.478402137756348,8.045442581176758,1.8862837553024292,2.5880532264709473,24.883398056030273,15.009297370910645,22.670000076293945,16.88387107849121,19.474559783935547,45.07167053222656,39.20000076293945,8.948738098144531,12.640623092651367,22.28705406188965,19.235645294189453,4.387499809265137,,,15.949422836303711,33.838890075683594,16.404783248901367,18.01840591430664,,,19.547100067138672,21.502111434936523
2019-01-15,29.57209587097168,,26.770761489868164,30.70966148376465,21.877342224121094,21.92416763305664,28.244728088378906,12.479999542236328,35.19106674194336,2.200000047683716,38.89395523071289,12.811772346496582,39.38977813720703,,8.714947700500488,29.335710525512695,6.2273149490356445,11.00521183013916,2.4093761444091797,10.956501007080078,8.616064071655273,26.06999969482422,,8.676081657409668,42.43412399291992,,,20.179658889770508,15.63016128540039,10.332840919494629,40.710079193115234,20.396223068237305,5.507514953613281,7.1115875244140625,11.219141006469727,5.367977619171143,4.763477802276611,13.672309875488281,31.529056549072266,24.401235580444336,10.387621879577637,38.73011779785156,26.10692596435547,40.902889251708984,8.15942096710205,17.850000381469727,,12.664297103881836,7.966381072998047,1.876991629600525,2.5290274620056152,24.665082931518555,14.969799041748047,22.43000030517578,16.96431541442871,19.295948028564453,45.71413803100586,39.150001525878906,8.83087158203125,12.153056144714355,22.24458885192871,18.956758499145508,4.400000095367432,,,16.09491539001465,33.31184005737305,16.883485794067383,18.138099670410156,,,19.531368255615234,21.410316467285156
