MLCX - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.448.479.060;0,798;7,897;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      N2;319.774.264;0,102;7,897;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,548;7,897;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,308;7,897;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;358.028.908;0,766;7,897;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;242.987.127;0,514;7,897;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,531;7,897;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.257.479.978;0,897;7,897;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,531;7,897;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,325;7,897;
Utilidade Públ / Energ Elétrica;NEOE3;NEOENERGIA;ON      NM;226.098.192;0,197;7,897;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,440;7,897;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,458;7,897;
Quantidade Teórica Total;;;;87.466.262.444;100,000;100,000
Redutor;;;;942.814.022,00973748
