"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.09.2021","10.560,83","10.802,99","10.803,04","10.548,27","-","-2,24%"
"16.09.2021","10.803,04","10.814,03","10.814,05","10.686,64","-","-0,10%"
"15.09.2021","10.814,08","10.937,85","10.958,56","10.764,77","-","-1,13%"
"14.09.2021","10.937,85","10.962,45","11.087,74","10.896,62","-","-0,22%"
"13.09.2021","10.962,43","10.722,83","11.038,46","10.722,83","-","2,29%"
"10.09.2021","10.716,73","10.804,91","10.999,72","10.699,28","-","-0,81%"
"09.09.2021","10.804,78","10.577,57","10.899,42","10.492,83","-","2,15%"
"08.09.2021","10.577,57","11.203,31","11.203,35","10.555,94","-","-5,59%"
"06.09.2021","11.203,33","11.058,88","11.222,71","11.018,30","-","1,30%"
"03.09.2021","11.059,22","11.136,59","11.208,82","10.936,29","-","-0,69%"
"02.09.2021","11.136,53","11.483,21","11.483,27","11.107,84","-","-3,02%"
"01.09.2021","11.483,87","11.445,27","11.593,64","11.444,79","-","0,34%"
"31.08.2021","11.445,27","11.367,34","11.571,08","11.325,72","-","0,68%"
"30.08.2021","11.367,42","11.501,67","11.501,67","11.339,75","-","-1,17%"
"27.08.2021","11.501,72","11.245,21","11.501,72","11.245,19","-","2,28%"
"26.08.2021","11.245,21","11.441,26","11.479,29","11.242,12","-","-1,71%"
"25.08.2021","11.441,33","11.454,56","11.454,56","11.315,59","-","-0,12%"
"24.08.2021","11.454,74","11.209,18","11.541,71","11.209,18","-","2,20%"
"23.08.2021","11.207,94","11.240,91","11.309,74","11.151,17","-","-0,29%"
"20.08.2021","11.240,87","11.205,34","11.285,25","11.039,48","-","0,29%"
"19.08.2021","11.207,82","11.113,59","11.263,01","10.998,31","-","0,84%"
"18.08.2021","11.114,82","11.161,78","11.362,70","11.092,62","-","-0,42%"
"17.08.2021","11.162,15","11.273,28","11.287,79","10.971,70","-","-1,01%"
"16.08.2021","11.275,58","11.496,40","11.551,21","11.264,35","-","-1,94%"
"13.08.2021","11.498,91","11.366,33","11.509,28","11.213,44","-","1,17%"
"12.08.2021","11.366,35","11.725,86","11.729,89","11.358,05","-","-3,07%"
"11.08.2021","11.725,86","11.787,33","11.860,91","11.616,13","-","-0,50%"
"10.08.2021","11.785,35","11.941,71","11.990,50","11.761,55","-","-1,31%"
"09.08.2021","11.941,67","11.879,56","12.016,07","11.877,51","-","0,52%"
"06.08.2021","11.879,58","11.635,06","11.910,99","11.631,64","-","2,10%"
"05.08.2021","11.635,02","11.699,30","11.910,59","11.580,59","-","-0,55%"
"04.08.2021","11.699,26","11.962,40","11.962,51","11.655,90","-","-2,20%"
"03.08.2021","11.962,41","11.845,68","12.017,33","11.697,47","-","0,99%"
"02.08.2021","11.845,46","11.713,85","12.119,72","11.713,76","-","1,12%"
"30.07.2021","11.713,83","12.020,14","12.083,18","11.688,43","-","-2,55%"
"29.07.2021","12.020,94","12.115,01","12.163,08","11.927,45","-","-0,78%"
"28.07.2021","12.115,01","11.979,01","12.182,61","11.978,59","-","1,14%"
"27.07.2021","11.978,90","12.044,89","12.044,95","11.869,83","-","-0,55%"
"26.07.2021","12.044,95","11.944,75","12.097,91","11.932,96","-","0,84%"
"23.07.2021","11.944,73","12.023,57","12.073,66","11.873,12","-","-0,65%"
"22.07.2021","12.023,02","12.119,51","12.151,81","11.988,84","-","-0,80%"
"21.07.2021","12.119,51","12.060,77","12.182,14","12.043,11","-","0,50%"
"20.07.2021","12.059,64","11.944,42","12.099,26","11.838,01","-","0,96%"
"19.07.2021","11.944,48","12.050,45","12.050,45","11.833,96","-","-0,89%"
"16.07.2021","12.052,06","12.256,45","12.305,02","12.042,91","-","-1,67%"
"15.07.2021","12.256,27","12.343,97","12.381,73","12.174,24","-","-0,71%"
"14.07.2021","12.343,97","12.210,09","12.497,45","12.210,09","-","1,10%"
"13.07.2021","12.210,01","12.187,48","12.263,09","12.008,89","-","0,19%"
"12.07.2021","12.187,17","11.910,09","12.227,15","11.910,09","-","2,33%"
"08.07.2021","11.910,09","12.048,96","12.048,96","11.778,28","-","-1,15%"
"07.07.2021","12.049,12","11.904,96","12.068,04","11.855,27","-","1,21%"
"06.07.2021","11.904,92","12.052,41","12.059,54","11.871,07","-","-1,22%"
"05.07.2021","12.052,54","12.215,79","12.224,30","12.039,90","-","-1,34%"
"02.07.2021","12.216,23","12.057,69","12.230,33","12.049,60","-","1,32%"
"01.07.2021","12.057,50","12.193,03","12.232,93","11.975,46","-","-1,11%"
"30.06.2021","12.193,03","12.263,83","12.274,38","12.166,08","-","-0,58%"
"29.06.2021","12.263,83","12.284,71","12.306,23","12.146,72","-","-0,17%"
"28.06.2021","12.284,71","12.270,19","12.296,66","12.165,80","-","0,12%"
"25.06.2021","12.270,16","12.569,58","12.630,67","12.191,41","-","-2,38%"
"24.06.2021","12.569,58","12.594,10","12.697,73","12.523,84","-","-0,19%"
"23.06.2021","12.594,10","12.625,55","12.774,40","12.576,94","-","-0,26%"
"22.06.2021","12.626,67","12.728,32","12.728,32","12.527,82","-","-0,80%"
"21.06.2021","12.728,76","12.740,48","12.783,88","12.621,33","-","-0,09%"
"18.06.2021","12.740,36","12.844,41","12.845,37","12.676,29","-","-0,81%"
"17.06.2021","12.844,47","12.858,81","13.129,42","12.789,12","-","-0,11%"
"16.06.2021","12.858,81","12.688,87","12.992,99","12.688,05","-","1,34%"
"15.06.2021","12.688,73","12.616,73","12.710,36","12.571,54","-","0,57%"
"14.06.2021","12.616,73","12.584,46","12.710,33","12.559,61","-","0,26%"
"11.06.2021","12.584,46","12.695,45","12.697,77","12.463,58","-","-0,88%"
"10.06.2021","12.695,89","12.736,14","12.855,45","12.608,49","-","-0,29%"
"09.06.2021","12.733,42","12.714,60","12.888,21","12.506,25","-","0,15%"
"08.06.2021","12.714,64","12.911,42","12.913,39","12.629,77","-","-1,53%"
"07.06.2021","12.911,79","12.779,24","12.941,80","12.695,31","-","1,04%"
"04.06.2021","12.779,24","12.620,23","12.791,19","12.584,03","-","1,26%"
"02.06.2021","12.620,23","12.467,69","12.620,23","12.346,83","-","1,23%"
"01.06.2021","12.466,89","12.248,19","12.466,89","12.248,19","-","1,79%"
"31.05.2021","12.248,19","12.227,83","12.264,89","12.173,36","-","0,17%"
"28.05.2021","12.227,83","12.103,51","12.237,76","12.077,75","-","1,02%"
