"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.11.2021","10.192,47","9.918,81","10.369,41","9.905,89","-","2,76%"
"09.11.2021","9.918,81","9.928,57","10.139,69","9.892,16","-","-0,10%"
"08.11.2021","9.928,51","10.062,22","10.075,89","9.881,54","-","-1,33%"
"05.11.2021","10.062,22","9.845,97","10.166,81","9.845,97","-","2,20%"
"04.11.2021","9.845,89","10.193,31","10.232,86","9.813,99","-","-3,41%"
"03.11.2021","10.193,31","10.119,44","10.321,11","10.024,07","-","0,73%"
"01.11.2021","10.119,85","9.779,13","10.168,67","9.779,13","-","3,48%"
"29.10.2021","9.779,05","10.002,54","10.088,27","9.779,05","-","-2,23%"
"28.10.2021","10.001,81","10.077,73","10.149,86","9.891,58","-","-0,75%"
"27.10.2021","10.077,73","10.015,24","10.292,13","10.014,04","-","0,63%"
"26.10.2021","10.014,30","10.300,20","10.300,20","9.987,04","-","-2,78%"
"25.10.2021","10.300,34","10.092,86","10.374,06","10.092,84","-","2,06%"
"22.10.2021","10.092,75","10.426,33","10.426,33","9.761,37","-","-3,20%"
"21.10.2021","10.426,35","10.714,68","10.714,70","10.253,02","-","-2,69%"
"20.10.2021","10.714,79","10.416,65","10.811,76","10.416,40","-","2,86%"
"19.10.2021","10.416,65","10.803,86","10.804,32","10.342,64","-","-3,59%"
"18.10.2021","10.804,05","10.778,16","10.854,95","10.572,53","-","0,24%"
"15.10.2021","10.778,18","10.446,83","10.804,89","10.446,83","-","3,17%"
"14.10.2021","10.446,81","10.465,29","10.536,97","10.365,93","-","-0,18%"
"13.10.2021","10.465,26","10.275,21","10.500,43","10.223,63","-","1,86%"
"11.10.2021","10.273,80","10.549,63","10.558,85","10.246,28","-","-2,61%"
"08.10.2021","10.549,63","10.331,87","10.743,13","10.330,37","-","2,11%"
"07.10.2021","10.331,82","10.403,07","10.511,79","10.328,60","-","-0,68%"
"06.10.2021","10.403,00","10.382,31","10.411,12","10.135,56","-","0,19%"
"05.10.2021","10.382,90","10.313,62","10.570,05","10.278,17","-","0,67%"
"04.10.2021","10.313,51","10.697,68","10.697,71","10.229,64","-","-3,59%"
"01.10.2021","10.697,23","10.363,79","10.741,42","10.363,44","-","3,21%"
"30.09.2021","10.364,93","10.467,19","10.542,42","10.340,35","-","-0,98%"
"29.09.2021","10.467,19","10.382,07","10.539,42","10.379,87","-","0,82%"
"28.09.2021","10.381,73","10.751,80","10.800,70","10.367,87","-","-3,45%"
"27.09.2021","10.752,30","10.625,35","10.841,92","10.521,93","-","1,20%"
"24.09.2021","10.625,20","10.730,66","10.730,92","10.566,72","-","-0,99%"
"23.09.2021","10.731,23","10.565,85","10.790,45","10.565,85","-","1,57%"
"22.09.2021","10.565,80","10.292,92","10.663,73","10.292,92","-","2,65%"
"21.09.2021","10.292,84","10.235,08","10.397,98","10.225,72","-","0,57%"
"20.09.2021","10.235,01","10.560,74","10.560,74","10.140,42","-","-3,09%"
