SMLL - Carteira do Dia 04/05/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ORVR3;ORIZON;ON      NM;33.519.442;0,386;
PCAR3;P.ACUCAR-CBD;ON  EJ  NM;156.946.474;1,109;
PGMN3;PAGUE MENOS;ON      NM;157.843.200;0,392;
PMAM3;PARANAPANEMA;ON      NM;43.403.849;0,112;
RECV3;PETRORECSA;ON  ED  NM;231.911.692;1,908;
PETZ3;PETZ;ON  ED  NM;336.154.589;1,770;
PLPL3;PLANOEPLANO;ON  ED  NM;66.384.300;0,062;
PTBL3;PORTOBELLO;ON      NM;66.269.176;0,178;
POSI3;POSITIVO TEC;ON  ED  NM;78.053.723;0,195;
QUAL3;QUALICORP;ON      NM;277.027.077;1,185;
LJQQ3;QUERO-QUERO;ON      NM;179.211.429;0,486;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;2,582;
RAPT4;RANDON PART;PN      N1;177.628.801;0,617;
RCSL3;RECRUSUL;ON;25.408.950;0,026;
SAPR11;SANEPAR;UNT ED  N2;201.076.373;1,313;
STBP3;SANTOS BRP;ON      NM;858.126.173;1,950;
SEQL3;SEQUOIA LOG;ON      NM;122.837.313;0,447;
SEER3;SER EDUCA;ON      NM;54.338.507;0,162;
SIMH3;SIMPAR;ON      NM;226.076.396;0,831;
SQIA3;SINQIA;ON      NM;72.771.546;0,438;
SLCE3;SLC AGRICOLA;ON  ED  NM;96.270.946;1,754;
SULA11;SUL AMERICA;UNT     N2;283.167.854;2,473;
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,110;
TASA4;TAURUS ARMAS;PN      N2;64.846.202;0,519;
TRAD3;TC;ON  ED  NM;85.201.015;0,137;
TECN3;TECHNOS;ON      NM;48.844.410;0,040;
TCSA3;TECNISA;ON      NM;50.442.218;0,050;
TGMA3;TEGMA;ON      NM;32.001.480;0,154;
TEND3;TENDA;ON      NM;96.139.516;0,181;
TRIS3;TRISUL;ON  ED  NM;83.225.626;0,114;
TPIS3;TRIUNFO PART;ON  ED  NM;74.237.233;0,037;
TUPY3;TUPY;ON      NM;67.547.494;0,465;
UNIP6;UNIPAR;PNB;49.364.157;1,631;
VLID3;VALID;ON      NM;78.269.230;0,221;
VIIA3;VIA;ON      NM;1.596.295.753;1,525;
VIVA3;VIVARA S.A.;ON  ED  NM;99.446.859;0,807;
VIVR3;VIVER;ON      NM;142.902.713;0,049;
VULC3;VULCABRAS;ON      NM;73.766.391;0,247;
WIZS3;WIZ S.A.;ON      NM;77.540.728;0,193;
YDUQ3;YDUQS PART;ON  ED  NM;300.833.122;1,588;
Quantidade Teórica Total;;;31.410.639.137;100,000
Redutor;;;132.213.331,96747473
