SMLL - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;1.627,96;;2.028,12;2.305,58;;2.485,92;2.359,03;;2.680,71
2;2.894,58;;2.712,12;1.634,63;;2.104,18;2.297,46;;2.502,15;2.327,57;;2.702,01
3;2.902,46;2.905,74;2.681,56;1.576,10;;2.190,83;2.330,22;2.454,25;2.455,93;;2.281,21;2.738,43
4;;2.940,95;2.742,07;;1.813,92;2.199,53;;2.408,09;2.466,75;;2.349,28;2.749,03
5;;2.959,85;2.574,98;;1.809,60;2.241,68;;2.448,10;;2.355,23;2.422,16;
6;2.899,97;2.911,83;2.480,53;1.650,45;1.793,31;;2.377,23;2.478,31;;2.347,65;2.460,79;
7;2.902,78;2.840,48;;1.712,50;1.738,99;;2.361,88;2.457,34;;2.337,28;;2.748,05
8;2.884,84;;;1.759,61;1.749,36;2.342,37;2.399,91;;2.476,33;2.382,26;;2.744,40
9;2.891,86;;2.170,90;1.763,57;;2.310,25;2.402,65;;2.475,54;2.388,91;2.511,80;2.722,02
10;2.903,38;2.757,30;2.326,53;;;2.232,67;2.444,51;2.460,71;2.424,01;;2.493,69;2.751,82
11;;2.848,62;2.182,38;;1.716,65;;;2.470,96;2.385,86;;2.470,78;2.764,27
12;;2.881,05;1.818,87;;1.676,46;2.173,94;;2.428,07;;;2.416,68;
13;2.946,92;2.875,58;2.017,60;1.766,14;1.648,51;;2.422,18;2.408,20;;2.389,70;2.497,01;
14;2.977,49;2.860,60;;1.823,67;1.683,45;;2.437,24;2.431,75;2.459,47;2.416,66;;2.759,34
15;2.966,79;;;1.819,93;1.669,54;2.176,62;2.473,08;;2.454,99;2.424,37;;2.781,61
16;2.974,47;;1.736,74;1.805,00;;2.177,79;2.463,60;;2.457,88;2.410,59;2.527,98;2.802,79
17;2.992,16;2.895,33;1.778,56;1.823,57;;2.233,53;2.504,28;2.351,62;2.450,51;;2.540,98;2.795,59
18;;2.898,15;1.510,08;;1.768,34;2.238,00;;2.438,91;2.402,89;;2.535,52;2.782,57
19;;2.944,57;1.578,58;;1.768,96;2.257,38;;2.423,47;;2.417,41;2.550,97;
20;3.026,35;2.903,06;1.569,40;1.856,01;1.789,91;;2.552,36;2.447,47;;2.450,80;2.543,27;
21;3.009,00;2.895,96;;;1.841,04;;2.538,50;2.465,07;2.357,83;2.460,39;;2.738,22
22;3.037,74;;;1.918,57;1.810,95;2.263,03;2.533,58;;2.367,46;2.461,96;;2.722,58
23;3.064,07;;1.480,15;1.895,46;;2.288,80;2.464,27;;2.343,27;2.457,99;2.569,54;2.771,26
24;3.032,38;;1.584,79;1.772,26;;2.238,25;2.437,36;2.465,41;2.367,03;;2.609,57;
25;;;1.717,71;;1.903,63;2.254,38;;2.482,00;2.359,32;;2.638,05;
26;;2.693,81;1.839,51;;1.910,64;2.188,94;;2.445,01;;2.431,62;2.660,36;
27;2.930,10;2.600,70;1.769,76;1.830,75;1.995,95;;2.450,13;2.443,77;;2.411,40;2.664,26;
28;2.975,44;2.617,77;;1.909,02;1.974,42;;2.467,00;2.471,63;2.304,38;2.289,57;;2.805,23
29;2.938,86;;;1.952,29;1.968,03;2.246,46;2.492,41;;2.271,77;2.311,72;;2.817,14
30;2.902,49;;1.765,95;1.873,01;;2.252,01;2.513,14;;2.303,17;2.250,59;2.625,04;2.822,39
31;2.853,87;;1.699,76;;;;2.466,02;2.435,60;;;;
MÍNIMO;2.853,87;2.600,70;1.480,15;1.576,10;1.648,51;2.028,12;2.297,46;2.351,62;2.271,77;2.250,59;2.281,21;2.680,71
MÍNIMO;3.064,07;2.959,85;2.742,07;1.952,29;1.995,95;2.342,37;2.552,36;2.482,00;2.502,15;2.461,96;2.664,26;2.822,39
