SMLL - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.792,76;2.656,48;2.774,92;;3.136,20;3.113,81;;2.845,54;2.732,83;2.398,41;2.215,28
2;;2.846,37;2.655,85;;;3.156,92;3.164,23;2.986,25;2.786,57;;;2.274,01
3;;2.876,21;2.647,09;;2.925,03;;;2.986,53;2.765,89;;2.473,22;2.332,80
4;2.799,80;2.862,76;2.676,85;;2.907,68;3.191,02;;2.948,42;;2.644,71;2.429,45;
5;2.788,95;2.877,96;2.735,00;2.823,08;2.945,93;;3.159,89;2.920,95;;2.612,12;2.477,39;
6;2.729,30;;;2.861,56;2.930,91;;3.089,74;2.936,14;2.800,42;2.595,58;;2.372,45
7;2.730,97;;;2.857,77;2.973,56;3.182,66;3.115,10;;;2.593,52;;2.369,64
8;2.813,14;2.894,42;2.590,51;2.895,49;;3.174,54;3.069,06;;2.681,57;2.677,37;2.456,40;2.444,70
9;;2.869,65;2.586,49;2.903,17;;3.166,69;;2.950,71;2.732,96;;2.497,84;2.393,37
10;;2.812,45;2.643,60;;2.957,19;3.194,70;;2.935,06;2.726,56;;2.527,00;2.445,96
11;2.781,49;2.834,20;2.728,16;;2.953,57;3.159,30;;2.919,49;;2.650,24;2.583,48;
12;2.839,48;2.832,37;2.736,80;2.921,44;2.859,77;;3.124,14;2.875,27;;;2.531,40;
13;2.836,91;;;2.922,11;2.885,97;;3.140,39;2.867,97;2.802,12;2.710,65;;2.420,91
14;2.898,18;;;2.925,05;2.938,72;3.211,45;3.155,47;;2.808,92;2.705,39;;2.368,17
15;2.850,50;;2.766,62;2.940,31;;3.211,69;3.132,52;;2.787,03;2.733,63;;2.396,29
16;;;2.736,57;2.965,79;;3.194,87;3.107,34;2.765,87;2.774,48;;2.438,54;2.388,65
17;;2.846,79;2.803,75;;2.973,07;3.171,42;;2.719,81;2.742,19;;2.388,05;2.394,64
18;2.844,90;2.824,01;2.727,06;;2.978,37;3.184,43;;2.731,49;;2.745,13;2.397,69;
19;2.824,02;2.837,64;2.794,73;2.959,40;2.957,73;;3.064,09;2.790,28;;2.623,17;2.416,13;
20;2.804,52;;;2.942,90;2.984,76;;3.093,80;2.834,50;2.667,34;2.611,27;;2.330,98
21;2.768,22;;;;2.964,11;3.224,79;3.094,84;;2.722,18;2.505,63;;2.336,48
22;2.729,40;2.763,49;2.773,02;2.935,64;;3.204,03;3.114,37;;2.763,89;2.443,17;2.360,66;2.331,45
23;;2.778,45;2.749,05;2.953,58;;3.204,30;3.083,62;2.829,31;2.782,20;;2.356,56;2.318,26
24;;2.801,54;2.697,21;;2.996,90;3.211,53;;2.910,83;2.777,18;;2.367,64;
25;;2.720,15;2.744,19;;3.010,81;3.156,86;;2.933,64;;2.508,06;2.416,32;
26;2.698,32;2.675,37;2.739,25;2.970,91;3.046,79;;3.075,02;2.867,77;;2.412,24;2.318,09;
27;2.704,61;;;2.937,57;3.086,22;;3.015,01;2.917,13;2.761,46;2.428,22;;2.340,37
28;2.798,01;;;2.949,26;3.089,50;3.165,33;3.041,06;;2.666,75;2.375,27;;2.357,04
29;2.725,47;;2.724,54;2.949,95;;3.147,16;3.039,43;;2.669,96;2.332,00;2.315,37;2.326,04
30;;;2.806,35;2.919,97;;3.144,68;2.962,40;2.886,52;2.665,93;;2.278,71;2.365,24
31;;;2.797,50;;3.104,50;;;2.849,13;;;;
MÍNIMO;2.698,32;2.675,37;2.586,49;2.774,92;2.859,77;3.136,20;2.962,40;2.719,81;2.665,93;2.332,00;2.278,71;2.215,28
MÍNIMO;2.898,18;2.894,42;2.806,35;2.970,91;3.104,50;3.224,79;3.164,23;2.986,53;2.845,54;2.745,13;2.583,48;2.445,96
