SMLL - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.974,82;1.928,22;1.947,69;;;2.129,42;2.320,23;;2.335,20;2.439,62;
2;1.833,85;;;1.943,16;1.955,53;;2.132,19;2.313,36;2.300,41;2.288,83;;2.513,65
3;1.842,05;;;1.939,33;1.953,78;2.001,00;2.162,87;;2.273,58;2.311,85;;2.520,25
4;1.838,70;1.984,54;;1.963,70;;2.017,12;2.201,22;;2.269,57;2.333,87;2.446,54;2.531,64
5;;1.984,40;;1.977,60;;2.007,21;2.231,71;2.267,94;2.279,81;;2.416,76;2.541,02
6;;1.932,27;1.911,32;;1.943,87;2.022,29;;2.316,97;2.265,57;;2.441,99;2.581,23
7;1.824,34;1.911,17;1.903,53;;1.938,33;2.048,28;;2.322,28;;2.288,92;2.464,08;
8;1.817,92;1.928,76;1.938,14;1.970,37;1.962,75;;2.265,31;2.361,55;;2.275,33;2.418,94;
9;1.841,13;;;1.950,34;1.965,24;;;2.393,17;2.230,02;2.296,22;;2.588,73
10;1.854,68;;;1.950,37;1.958,03;2.046,77;2.302,20;;2.231,29;2.297,38;;2.590,93
11;1.867,04;1.918,10;1.966,84;1.931,71;;2.056,45;2.290,72;;2.286,00;2.336,81;2.429,19;2.624,00
12;;1.932,08;1.969,66;1.909,80;;2.044,77;2.264,38;2.358,09;2.290,81;;2.389,01;2.643,15
13;;1.933,16;1.977,58;;1.906,44;2.081,58;;2.368,22;2.267,89;;2.381,72;2.694,07
14;1.893,33;1.961,69;1.981,20;;1.901,46;2.078,35;;2.312,70;;2.348,58;2.420,11;
15;1.891,38;1.955,90;1.981,50;1.914,14;1.877,23;;2.255,97;2.255,18;;2.339,88;;
16;1.884,71;;;1.923,52;1.844,88;;2.256,22;2.259,61;2.251,50;2.357,74;;2.715,26
17;1.908,16;;;1.904,68;1.825,05;2.081,10;2.265,68;;2.282,92;2.366,64;;2.700,22
18;1.908,45;1.955,26;1.996,81;1.923,49;;2.103,34;2.277,79;;2.298,71;2.370,50;2.417,57;2.732,29
19;;1.960,70;2.000,71;;;2.120,95;2.256,63;2.245,23;2.330,76;;2.413,01;2.762,66
20;;1.936,86;1.979,56;;1.870,23;;;2.247,97;2.329,62;;;2.758,31
21;1.904,04;1.924,34;1.958,97;;1.918,33;2.134,71;;2.293,61;;2.386,40;2.452,22;
22;1.897,62;1.939,11;1.909,19;1.927,93;1.916,55;;2.250,71;2.277,90;;2.399,88;2.475,09;
23;1.923,43;;;1.949,38;1.903,65;;2.245,91;2.225,25;2.319,80;2.388,32;;2.801,90
24;1.951,34;;;1.936,39;1.898,72;2.139,59;2.242,28;;2.312,26;2.375,97;;
25;;1.944,12;1.914,07;1.957,87;;2.100,39;2.231,03;;2.305,67;2.371,50;2.487,00;
26;;1.938,89;1.940,81;1.952,67;;2.105,12;2.250,43;2.182,71;2.318,39;;2.476,60;2.844,93
27;;1.946,98;1.870,82;;1.922,33;2.115,60;;2.196,82;2.322,27;;2.483,89;2.848,03
28;1.926,08;1.929,12;1.907,26;;1.953,29;2.141,66;;2.218,82;;2.379,14;2.514,25;
29;1.939,28;;1.931,05;1.955,62;1.960,66;;2.267,22;2.269,45;;2.384,57;2.521,92;
30;1.969,16;;;1.963,16;1.985,28;;2.292,75;2.297,21;2.344,99;2.410,04;;2.840,97
31;1.964,84;;;;2.001,83;;2.286,31;;;2.398,56;;
MÍNIMO;1.817,92;1.911,17;1.870,82;1.904,68;1.825,05;2.001,00;2.129,42;2.182,71;2.230,02;2.275,33;2.381,72;2.513,65
MÍNIMO;1.969,16;1.984,54;2.000,71;1.977,60;2.001,83;2.141,66;2.302,20;2.393,17;2.344,99;2.410,04;2.521,92;2.848,03
