UTIL - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;8.446,84;7.647,21;8.465,84;;9.125,64;8.595,28;;8.791,05;8.656,95;8.076,54;7.962,25
2;;8.564,45;7.732,07;;;9.122,75;8.680,62;8.490,56;8.639,32;;;8.223,85
3;;8.646,14;7.757,44;;8.475,96;;;8.499,01;8.579,37;;8.230,08;8.363,54
4;8.624,72;8.593,20;7.942,59;;8.326,37;9.159,85;;8.460,85;;8.454,20;8.027,18;
5;8.576,81;8.611,67;7.890,74;8.531,55;8.368,44;;8.650,53;8.343,38;;8.350,95;8.124,61;
6;8.460,05;;;8.580,26;8.417,65;;8.577,57;8.458,27;8.624,09;8.282,42;;8.355,22
7;8.351,68;;;8.533,18;8.567,18;9.220,54;8.682,51;;;8.315,99;;8.333,60
8;8.670,72;8.594,20;7.631,08;8.560,71;;9.104,50;8.587,54;;8.302,68;8.495,71;8.084,09;8.422,32
9;;8.624,50;7.634,97;8.521,71;;9.037,62;;8.484,85;8.497,13;;8.221,26;8.353,14
10;;8.508,60;7.793,82;;8.449,35;9.120,63;;8.348,73;8.485,93;;8.375,70;8.407,16
11;8.456,23;8.556,95;7.936,10;;8.581,61;9.038,25;;8.340,21;;8.539,90;8.469,65;
12;8.534,07;8.516,26;7.964,46;8.558,86;8.318,16;;8.721,61;8.260,49;;;8.370,67;
13;8.611,60;;;8.481,77;8.556,52;;8.688,91;8.346,17;8.645,03;8.678,67;;8.430,25
14;8.771,49;;;8.411,42;8.739,37;9.177,23;8.786,26;;8.705,43;8.706,20;;8.346,03
15;8.697,94;;8.118,92;8.455,07;;9.174,78;8.727,17;;8.648,49;8.684,45;;8.378,26
16;;;8.111,37;8.604,08;;9.093,10;8.716,67;8.255,25;8.627,24;;8.238,62;8.268,69
17;;8.378,43;8.267,71;;8.757,61;9.027,14;;8.202,65;8.603,00;;8.058,44;8.319,10
18;8.595,01;8.284,66;8.211,11;;8.794,54;9.098,57;;8.120,30;;8.757,26;8.084,40;
19;8.547,99;8.228,96;8.338,98;8.539,71;8.930,48;;8.626,05;8.358,12;;8.528,86;8.172,46;
20;8.405,09;;;8.602,24;8.923,60;;8.647,31;8.608,12;8.549,02;8.512,17;;8.218,41
21;8.294,93;;;;8.937,66;9.128,02;8.644,19;;8.669,55;8.270,44;;8.216,10
22;8.233,78;7.958,46;8.255,17;8.557,23;;9.035,01;8.738,40;;8.706,09;8.062,94;8.036,49;8.237,25
23;;8.111,13;8.237,59;8.627,77;;8.946,06;8.600,76;8.490,89;8.743,94;;8.141,90;8.171,38
24;;8.139,50;8.025,70;;9.065,85;9.004,55;;8.679,18;8.756,89;;8.117,20;
25;;7.947,65;8.266,64;;9.090,77;8.865,98;;8.712,00;;8.247,12;8.218,05;
26;8.091,74;7.817,97;8.320,56;8.586,77;9.067,17;;8.551,81;8.613,91;;8.134,67;8.063,03;
27;8.171,46;;;8.463,38;9.077,95;;8.572,90;8.669,78;8.753,33;8.253,23;;8.213,97
28;8.383,38;;;8.585,00;9.049,28;8.874,87;8.659,88;;8.634,95;8.095,35;;8.230,53
29;8.193,64;;8.311,29;8.640,78;;8.776,33;8.603,91;;8.664,18;7.972,22;8.095,00;8.154,85
30;;;8.440,18;8.533,45;;8.690,07;8.403,51;8.604,05;8.607,29;;8.011,47;8.222,92
31;;;8.563,38;;9.049,76;;;8.573,76;;;;
MÍNIMO;8.091,74;7.817,97;7.631,08;8.411,42;8.318,16;8.690,07;8.403,51;8.120,30;8.302,68;7.972,22;8.011,47;7.962,25
MÍNIMO;8.771,49;8.646,14;8.563,38;8.640,78;9.090,77;9.220,54;8.786,26;8.712,00;8.791,05;8.757,26;8.469,65;8.430,25
