UTIL - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;8.341,98;;9.530,13;;;;;;;;
2;;8.259,00;8.519,05;;9.001,86;;;;;;;
3;8.048,60;8.354,72;8.541,18;;8.960,14;;;;;;;
4;7.932,01;8.289,33;8.466,53;9.488,91;9.120,92;;;;;;;
5;7.770,64;;;9.358,38;8.876,96;;;;;;;
6;7.658,42;;;9.352,52;;;;;;;;
7;7.607,50;8.218,22;8.227,64;9.368,75;;;;;;;;
8;;8.192,06;8.252,86;9.467,11;;;;;;;;
9;;8.267,11;8.539,54;;;;;;;;;
10;7.583,73;8.286,19;8.468,96;;;;;;;;;
11;7.687,44;8.227,68;8.362,88;9.382,97;;;;;;;;
12;7.861,02;;;9.378,39;;;;;;;;
13;7.829,91;;;9.451,75;;;;;;;;
14;7.888,10;8.212,26;8.361,88;9.495,17;;;;;;;;
15;;8.380,10;8.389,67;;;;;;;;;
16;;8.406,53;8.442,14;;;;;;;;;
17;7.890,38;8.391,02;8.644,96;;;;;;;;;
18;7.864,94;8.379,83;8.861,57;9.425,11;;;;;;;;
19;8.011,06;;;9.209,71;;;;;;;;
20;8.083,50;;;9.251,33;;;;;;;;
21;8.088,50;8.304,03;8.896,99;;;;;;;;;
22;;8.411,69;9.065,53;9.107,16;;;;;;;;
23;;8.518,43;9.079,11;;;;;;;;;
24;7.998,22;8.454,34;9.256,14;;;;;;;;;
25;8.118,47;8.482,47;9.254,58;9.257,30;;;;;;;;
26;8.146,12;;;9.227,68;;;;;;;;
27;8.220,19;;;9.310,27;;;;;;;;
28;8.248,01;;9.211,80;9.312,65;;;;;;;;
29;;;9.301,48;9.118,52;;;;;;;;
30;;;9.239,14;;;;;;;;;
31;8.373,39;;9.323,70;;;;;;;;;
MÍNIMO;7.583,73;8.192,06;8.227,64;9.107,16;8.876,96;;;;;;;
MÍNIMO;8.373,39;8.518,43;9.323,70;9.530,13;9.120,92;;;;;;;
