UTIL - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;6.571,90;6.365,69;6.468,11;;;7.196,39;7.690,09;;7.596,60;7.756,89;
2;5.723,61;;;6.371,00;6.689,27;;7.142,88;7.713,27;7.796,00;7.459,71;;7.820,65
3;5.863,44;;;6.380,78;6.657,04;6.973,17;7.248,01;;7.683,36;7.507,34;;7.840,34
4;5.897,17;6.555,97;;6.463,64;;7.112,47;7.345,70;;7.760,96;7.567,87;7.744,64;7.924,91
5;;6.516,50;;6.507,49;;7.088,32;7.342,98;7.578,69;7.777,75;;7.686,98;7.999,75
6;;6.352,10;6.303,86;;6.673,14;7.153,55;;7.727,31;7.704,60;;7.705,51;8.032,87
7;5.792,72;6.310,45;6.197,69;;6.700,47;7.146,52;;7.668,71;;7.344,53;7.779,89;
8;5.829,44;6.388,57;6.330,92;6.517,71;6.736,08;;7.431,09;7.782,26;;7.333,68;7.652,21;
9;5.890,27;;;6.410,63;6.726,29;;;7.863,38;7.532,30;7.387,75;;8.075,99
10;5.947,84;;;6.455,61;6.655,89;7.045,79;7.540,87;;7.541,21;7.351,96;;8.082,99
11;6.009,21;6.294,80;6.418,16;6.380,24;;7.096,80;7.639,91;;7.712,19;7.430,75;7.682,64;8.190,14
12;;6.320,67;6.493,25;6.263,77;;7.021,88;7.582,04;7.772,17;7.744,08;;7.612,19;8.133,69
13;;6.365,86;6.561,44;;6.463,60;7.095,17;;7.840,69;7.652,27;;7.574,89;8.194,38
14;6.114,75;6.464,10;6.582,03;;6.534,22;7.043,30;;7.629,67;;7.435,34;7.628,15;
15;6.081,32;6.436,25;6.628,19;6.329,95;6.510,46;;7.496,32;7.456,81;;7.334,66;;
16;6.061,87;;;6.396,68;6.369,22;;7.517,88;7.558,92;7.619,08;7.422,62;;8.218,83
17;6.133,67;;;6.333,10;6.297,09;7.027,06;7.572,32;;7.681,73;7.420,85;;8.187,23
18;6.145,17;6.413,64;6.667,86;6.419,83;;7.044,20;7.640,69;;7.681,64;7.499,75;7.603,75;8.263,52
19;;6.459,71;6.644,35;;;7.115,42;7.551,04;7.553,54;7.751,97;;7.545,76;8.348,33
20;;6.375,27;6.548,34;;6.478,47;;;7.496,04;7.630,76;;;8.336,47
21;6.190,86;6.413,44;6.455,44;;6.614,07;7.098,78;;7.734,65;;7.545,70;7.644,08;
22;6.176,59;6.488,59;6.297,61;6.468,79;6.628,43;;7.546,92;7.736,19;;7.519,47;7.713,95;
23;6.281,61;;;6.525,98;6.546,63;;7.548,92;7.556,70;7.600,36;7.522,52;;8.468,82
24;6.401,03;;;6.485,87;6.492,16;7.088,25;7.473,86;;7.561,80;7.519,71;;
25;;6.486,72;6.351,49;6.593,98;;6.964,89;7.393,37;;7.490,39;7.437,99;7.686,39;
26;;6.463,68;6.459,56;6.628,28;;6.977,91;7.422,93;7.449,69;7.535,75;;7.624,06;8.585,42
27;;6.559,54;6.194,02;;6.557,38;7.065,66;;7.441,04;7.524,44;;7.661,05;8.593,13
28;6.422,91;6.429,83;6.348,56;;6.630,20;7.188,78;;7.464,60;;7.491,34;7.758,08;
29;6.504,63;;6.420,87;6.658,27;6.699,62;;7.449,65;7.572,03;;7.543,51;7.825,38;
30;6.524,13;;;6.716,94;6.793,13;;7.539,05;7.752,11;7.620,90;7.703,93;;8.611,18
31;6.518,19;;;;6.952,16;;7.546,38;;;7.736,08;;
MÍNIMO;5.723,61;6.294,80;6.194,02;6.263,77;6.297,09;6.964,89;7.142,88;7.441,04;7.490,39;7.333,68;7.545,76;7.820,65
MÍNIMO;6.524,13;6.571,90;6.667,86;6.716,94;6.952,16;7.188,78;7.640,69;7.863,38;7.796,00;7.736,08;7.825,38;8.611,18
