IBOV - Carteira do Dia 04/05/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON  ED;642.398.790;0,675;2,889;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA ED  N1;514.680.651;0,293;2,889;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0,439;15,985;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,165;15,985;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.706.334.382;4,498;15,985;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.442.248;6,944;15,985;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,090;15,985;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,675;15,985;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  ED  NM;1.131.883.365;1,174;15,985;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;0,753;1,837;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,084;1,837;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;0,221;3,772;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,980;3,772;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,178;3,772;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;772.010.260;1,393;3,772;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;418.965.264;0,147;1,013;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;548.153.725;0,049;1,013;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,817;1,013;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EDJ;413.890.875;1,077;1,630;
Telecomunicação;TIMS3;TIM;ON      NM;808.619.532;0,553;1,630;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON  EJ  NM;340.001.934;0,764;0,764;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EDB N1;1.448.479.060;0,757;6,841;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB ED  N2;1.563.365.506;0,537;6,841;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,306;6,841;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON  EDR N1;358.028.908;0,699;6,841;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB EDR N1;242.987.127;0,472;6,841;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,245;6,841;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,587;6,841;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.257.479.978;0,853;6,841;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,535;6,841;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON  ED  NM;1.100.513.485;1,365;6,841;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,485;6,841;
Quantidade Teórica Total;;;;96.626.612.142;100,000;100,000
Redutor;;;;18.672.501,00661986
