IMOB - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;705,14;;862,12;1.015,89;;993,67;929,81;;1.045,86
2;1.421,04;;1.325,64;699,36;;895,04;1.011,88;;990,79;910,63;;1.062,54
3;1.443,65;1.469,37;1.312,79;679,80;;963,04;1.041,07;1.019,61;975,02;;858,63;1.093,40
4;;1.484,74;1.351,26;;775,50;955,42;;1.003,47;977,18;;908,75;1.072,84
5;;1.482,69;1.249,49;;766,34;959,84;;1.042,22;;913,40;944,69;
6;1.435,64;1.444,00;1.200,64;719,84;747,74;;1.062,92;1.082,86;;927,06;967,00;
7;1.449,30;1.418,12;;738,72;702,55;;1.057,16;1.059,09;;932,86;;1.071,93
8;1.433,36;;;773,92;709,41;993,58;1.080,19;;997,40;945,61;;1.074,31
9;1.436,41;;1.062,03;764,12;;999,21;1.089,91;;995,35;968,92;1.020,18;1.072,01
10;1.440,56;1.372,83;1.133,30;;;959,42;1.117,14;1.048,31;972,93;;1.017,20;1.088,37
11;;1.417,45;1.048,18;;692,31;;;1.052,18;958,37;;1.007,74;1.083,80
12;;1.439,14;876,21;;680,60;930,82;;1.022,52;;;971,06;
13;1.465,81;1.429,58;954,89;763,15;677,72;;1.082,27;987,21;;960,90;994,82;
14;1.488,55;1.415,69;;767,72;702,45;;1.091,21;1.020,25;1.000,38;957,90;;1.096,87
15;1.481,96;;;750,02;686,87;930,44;1.088,80;;991,71;967,44;;1.103,39
16;1.475,91;;786,01;749,36;;929,47;1.081,60;;995,08;955,30;1.014,26;1.106,33
17;1.491,15;1.414,91;802,12;771,61;;967,72;1.099,42;970,74;979,11;;1.017,56;1.091,54
18;;1.416,93;660,46;;741,63;960,11;;1.003,94;946,70;;990,52;1.072,52
19;;1.437,03;734,41;;740,46;981,16;;981,53;;963,40;989,65;
20;1.508,43;1.425,22;706,68;806,00;765,39;;1.116,11;1.014,21;;985,91;976,79;
21;1.493,32;1.429,73;;;814,03;;1.104,70;1.017,97;924,42;1.001,88;;1.049,86
22;1.502,91;;;853,61;791,72;986,63;1.082,98;;932,69;983,93;;1.033,98
23;1.526,20;;658,18;845,94;;998,11;1.048,15;;907,03;977,12;980,23;1.039,16
24;1.502,97;;759,94;755,69;;977,03;1.033,41;1.006,27;916,22;;1.013,03;
25;;;832,73;;851,48;980,61;;1.000,79;909,63;;1.031,27;
26;;1.332,44;900,18;;835,04;939,19;;977,87;;948,71;1.025,45;
27;1.451,39;1.284,21;842,16;781,97;872,58;;1.032,32;970,51;;933,44;1.039,14;
28;1.473,15;1.289,77;;840,56;838,01;;1.033,11;991,71;878,07;882,27;;1.053,39
29;1.482,83;;;865,67;822,57;974,64;1.058,39;;866,23;892,60;;1.051,68
30;1.465,24;;827,62;814,22;;975,25;1.064,93;;885,71;863,71;1.005,95;1.051,82
31;1.442,44;;757,48;;;;1.045,54;962,80;;;;
MÍNIMO;1.421,04;1.284,21;658,18;679,80;677,72;862,12;1.011,88;962,80;866,23;863,71;858,63;1.033,98
MÍNIMO;1.526,20;1.484,74;1.351,26;865,67;872,58;999,21;1.117,14;1.082,86;1.000,38;1.001,88;1.039,14;1.106,33
