IMOB - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;787,55;;813,09;;;;;;;;
2;;775,76;731,10;;726,04;;;;;;;
3;685,51;779,49;737,36;;724,60;;;;;;;
4;672,28;755,05;714,79;810,09;737,92;;;;;;;
5;641,41;;;792,42;702,28;;;;;;;
6;635,37;;;768,89;;;;;;;;
7;635,43;758,93;682,38;767,11;;;;;;;;
8;;751,49;691,34;751,48;;;;;;;;
9;;758,76;725,85;;;;;;;;;
10;623,47;752,14;719,24;;;;;;;;;
11;635,94;750,76;681,23;738,84;;;;;;;;
12;664,25;;;739,14;;;;;;;;
13;666,46;;;742,32;;;;;;;;
14;684,99;757,70;673,32;731,72;;;;;;;;
15;;782,63;677,43;;;;;;;;;
16;;781,01;683,40;;;;;;;;;
17;677,73;770,24;680,40;;;;;;;;;
18;670,27;773,11;715,32;736,66;;;;;;;;
19;695,63;;;750,58;;;;;;;;
20;727,11;;;753,61;;;;;;;;
21;743,30;746,42;713,30;;;;;;;;;
22;;757,08;737,48;730,88;;;;;;;;
23;;751,78;748,25;;;;;;;;;
24;733,91;749,24;780,00;;;;;;;;;
25;762,94;743,30;799,90;737,28;;;;;;;;
26;777,33;;;725,78;;;;;;;;
27;790,42;;;730,30;;;;;;;;
28;784,61;;793,27;739,89;;;;;;;;
29;;;807,36;733,76;;;;;;;;
30;;;795,91;;;;;;;;;
31;798,74;;785,82;;;;;;;;;
MÍNIMO;623,47;743,30;673,32;725,78;702,28;;;;;;;
MÍNIMO;798,74;787,55;807,36;813,09;737,92;;;;;;;
