IMOB - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;891,70;841,09;815,34;;;1.003,63;1.116,46;;1.094,99;1.183,91;
2;834,22;;;816,47;815,45;;1.008,60;1.116,85;1.111,58;1.071,81;;1.193,54
3;838,99;;;805,79;828,09;875,70;1.025,11;;1.087,63;1.088,32;;1.214,99
4;827,97;897,35;;818,16;;893,36;1.038,75;;1.066,68;1.102,77;1.198,84;1.223,45
5;;898,39;;825,03;;889,41;1.054,62;1.088,54;1.073,67;;1.174,19;1.230,19
6;;878,18;829,78;;824,36;902,08;;1.117,44;1.060,00;;1.182,49;1.253,66
7;823,68;861,82;829,89;;822,90;931,45;;1.133,45;;1.078,63;1.186,49;
8;823,16;869,87;849,34;810,94;833,99;;1.074,18;1.152,37;;1.076,58;1.166,75;
9;834,24;;;799,87;839,57;;;1.141,21;1.023,21;1.090,78;;1.253,48
10;833,50;;;810,28;837,60;926,97;1.104,43;;1.032,89;1.086,78;;1.261,73
11;830,15;864,27;862,08;789,12;;929,58;1.087,04;;1.076,56;1.101,95;1.175,65;1.273,51
12;;858,85;856,31;768,65;;926,38;1.070,92;1.126,73;1.064,99;;1.156,39;1.296,53
13;;855,30;864,41;;818,75;951,05;;1.124,10;1.042,12;;1.148,05;1.324,14
14;838,17;869,81;857,82;;821,83;957,91;;1.093,68;;1.112,15;1.183,83;
15;837,79;861,78;855,57;777,73;808,00;;1.060,88;1.070,35;;1.115,58;;
16;834,58;;;784,57;792,61;;1.062,94;1.077,42;1.038,01;1.134,36;;1.339,46
17;852,20;;;786,41;779,96;954,39;1.070,84;;1.071,21;1.139,46;;1.327,43
18;855,08;861,73;854,47;800,92;;971,90;1.077,57;;1.077,53;1.143,92;1.175,63;1.337,13
19;;864,10;855,41;;;976,16;1.057,73;1.069,58;1.103,44;;1.169,56;1.350,79
20;;849,15;850,45;;816,31;;;1.060,25;1.111,70;;;1.341,83
21;853,56;845,94;838,14;;833,24;999,16;;1.095,02;;1.147,72;1.196,02;
22;851,94;854,07;813,29;807,27;828,90;;1.048,56;1.088,78;;1.150,81;1.197,94;
23;872,00;;;820,28;828,12;;1.049,49;1.064,00;1.106,37;1.138,30;;1.361,37
24;883,22;;;813,38;823,03;1.004,17;1.051,97;;1.103,04;1.132,42;;
25;;857,08;811,42;823,74;;981,54;1.042,98;;1.089,70;1.132,90;1.194,86;
26;;852,06;821,17;827,38;;990,09;1.062,49;1.035,29;1.100,72;;1.182,86;1.385,61
27;;855,72;789,36;;839,97;990,89;;1.054,01;1.096,07;;1.165,03;1.386,81
28;888,24;847,68;811,81;;851,61;1.013,12;;1.061,29;;1.145,91;1.186,53;
29;889,09;;817,73;828,94;857,11;;1.081,61;1.084,93;;1.137,59;1.182,68;
30;893,31;;;831,39;870,47;;1.100,46;1.094,53;1.102,81;1.157,86;;1.388,86
31;898,96;;;;880,99;;1.100,39;;;1.159,53;;
MÍNIMO;823,16;845,94;789,36;768,65;779,96;875,70;1.003,63;1.035,29;1.023,21;1.071,81;1.148,05;1.193,54
MÍNIMO;898,96;898,39;864,41;831,39;880,99;1.013,12;1.104,43;1.152,37;1.111,70;1.159,53;1.198,84;1.388,86
