MLCX - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.232,16;;2.401,67;;;;;;;;
2;;2.208,72;2.292,63;;2.113,60;;;;;;;
3;2.047,89;2.204,67;2.292,46;;2.110,04;;;;;;;
4;2.041,72;2.219,93;2.283,89;2.396,71;2.143,49;;;;;;;
5;1.996,25;;;2.349,41;2.086,31;;;;;;;
6;2.008,70;;;2.341,66;;;;;;;;
7;2.036,51;2.217,02;2.234,63;2.356,07;;;;;;;;
8;;2.222,92;2.220,91;2.346,29;;;;;;;;
9;;2.226,32;2.266,42;;;;;;;;;
10;2.020,92;2.246,73;2.267,33;;;;;;;;;
11;2.057,25;2.252,50;2.231,91;2.319,95;;;;;;;;
12;2.093,55;;;2.303,26;;;;;;;;
13;2.091,13;;;2.315,84;;;;;;;;
14;2.117,99;2.256,79;2.192,53;2.305,23;;;;;;;;
15;;2.267,57;2.169,30;;;;;;;;;
16;;2.275,95;2.211,38;;;;;;;;;
17;2.106,47;2.240,94;2.252,03;;;;;;;;;
18;2.115,31;2.229,51;2.294,12;2.292,67;;;;;;;;
19;2.139,91;;;2.276,00;;;;;;;;
20;2.155,76;;;2.260,76;;;;;;;;
21;2.149,90;2.211,82;2.315,05;;;;;;;;;
22;;2.233,33;2.331,25;2.193,29;;;;;;;;
23;;2.217,57;2.333,55;;;;;;;;;
24;2.131,84;2.207,44;2.362,27;;;;;;;;;
25;2.173,38;2.245,08;2.356,78;2.183,87;;;;;;;;
26;2.194,64;;;2.137,11;;;;;;;;
27;2.219,27;;;2.163,18;;;;;;;;
28;2.204,93;;2.349,69;2.176,32;;;;;;;;
29;;;2.370,96;2.136,90;;;;;;;;
30;;;2.378,50;;;;;;;;;
31;2.203,71;;2.374,22;;;;;;;;;
MÍNIMO;1.996,25;2.204,67;2.169,30;2.136,90;2.086,31;;;;;;;
MÍNIMO;2.219,27;2.275,95;2.378,50;2.401,67;2.143,49;;;;;;;
