MLCX - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.265,69;2.156,94;2.247,85;;2.509,39;2.471,27;;2.341,48;2.201,23;2.067,05;1.977,70
2;;2.269,24;2.186,28;;;2.536,91;2.512,09;2.419,92;2.295,89;;;2.051,68
3;;2.303,57;2.177,01;;2.348,01;;;2.450,22;2.299,93;;2.055,28;2.057,67
4;2.285,60;2.293,86;2.199,00;;2.324,61;2.539,09;;2.419,54;;2.156,53;2.010,18;
5;2.299,00;2.318,55;2.252,19;2.299,04;2.358,51;;2.498,09;2.408,90;;2.158,10;2.030,77;
6;2.303,61;;;2.295,10;2.377,45;;2.470,96;2.430,42;2.314,44;2.164,38;;2.095,56
7;2.379,95;;;2.303,98;2.414,17;2.546,64;2.505,69;;;2.167,49;;2.111,14
8;2.428,39;2.311,03;2.170,89;2.313,19;;2.525,19;2.478,68;;2.230,40;2.206,97;2.037,91;2.115,66
9;;2.308,25;2.181,63;2.297,04;;2.534,80;;2.432,19;2.263,55;;2.046,81;2.083,41
10;;2.291,21;2.201,79;;2.410,30;2.535,41;;2.420,56;2.243,70;;2.053,51;2.109,29
11;2.397,92;2.302,62;2.244,14;;2.438,91;2.531,63;;2.416,88;;2.199,05;2.085,98;
12;2.401,02;2.307,24;2.221,45;2.320,40;2.373,83;;2.517,20;2.397,15;;;2.064,76;
13;2.355,99;;;2.329,26;2.386,84;;2.527,73;2.402,43;2.280,52;2.215,75;;2.107,30
14;2.385,06;;;2.355,39;2.399,81;2.540,55;2.531,42;;2.274,02;2.210,84;;2.097,06
15;2.320,97;;2.233,69;2.365,24;;2.531,70;2.516,68;;2.249,94;2.240,96;;2.106,73
16;;;2.220,27;2.373,87;;2.511,06;2.485,94;2.371,52;2.220,24;;2.029,13;2.129,08
17;;2.326,98;2.266,85;;2.426,35;2.486,19;;2.346,43;2.173,99;;2.001,66;2.105,99
18;2.340,50;2.309,40;2.235,71;;2.426,65;2.498,90;;2.314,21;;2.235,34;1.986,11;
19;2.330,67;2.296,43;2.255,17;2.369,74;2.415,55;;2.455,48;2.305,73;;2.168,18;2.000,92;
20;2.309,89;;;2.351,49;2.414,61;;2.473,45;2.322,50;2.122,41;2.166,84;;2.066,06
21;2.288,80;;;;2.410,07;2.514,24;2.486,06;;2.148,55;2.109,98;;2.078,04
22;2.273,17;2.187,14;2.231,60;2.338,95;;2.512,92;2.492,78;;2.190,16;2.086,84;1.992,80;2.071,09
23;;2.237,93;2.198,56;2.366,05;;2.511,05;2.472,60;2.308,19;2.224,20;;2.025,42;2.064,01
24;;2.246,40;2.182,58;;2.437,78;2.529,41;;2.361,15;2.207,46;;2.043,34;
25;;2.181,78;2.208,72;;2.409,73;2.496,66;;2.368,82;;2.133,83;2.064,86;
26;2.256,32;2.139,79;2.235,51;2.366,43;2.431,79;;2.493,55;2.331,80;;2.092,58;1.998,74;
27;2.236,00;;;2.352,15;2.436,26;;2.465,60;2.372,56;2.216,13;2.087,00;;2.077,31
28;2.290,66;;;2.388,24;2.460,25;2.496,57;2.502,26;;2.147,80;2.074,72;;2.060,01
29;2.217,54;;2.253,17;2.371,43;;2.502,11;2.488,48;;2.168,28;2.029,55;2.011,67;2.048,17
30;;;2.272,26;2.345,82;;2.495,58;2.404,69;2.354,26;2.168,34;;1.996,23;2.061,21
31;;;2.271,64;;2.480,26;;;2.329,92;;;;
MÍNIMO;2.217,54;2.139,79;2.156,94;2.247,85;2.324,61;2.486,19;2.404,69;2.305,73;2.122,41;2.029,55;1.986,11;1.977,70
MÍNIMO;2.428,39;2.326,98;2.272,26;2.388,24;2.480,26;2.546,64;2.531,42;2.450,22;2.341,48;2.240,96;2.085,98;2.129,08
