MLCX - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;1.368,57;;1.708,42;1.847,53;;1.953,94;1.825,60;;2.127,62
2;2.263,20;;2.047,61;1.394,17;;1.752,28;1.849,15;;1.948,31;1.798,50;;2.136,33
3;2.248,73;2.194,00;2.027,98;1.342,93;;1.786,66;1.858,06;1.972,04;1.927,46;;1.847,59;2.140,27
4;;2.211,19;2.061,11;;1.522,55;1.802,95;;1.941,76;1.936,86;;1.884,94;2.169,29
5;;2.219,71;1.967,05;;1.536,16;1.815,47;;1.971,50;;1.838,39;1.939,63;
6;2.233,19;2.204,45;1.884,02;1.430,40;1.528,01;;1.898,86;1.999,02;;1.829,53;1.940,70;
7;2.228,59;2.179,31;;1.474,02;1.510,35;;1.875,22;1.973,43;;1.829,23;;2.164,99
8;2.221,06;;;1.517,87;1.554,35;1.869,36;1.913,78;;1.911,42;1.874,86;;2.169,77
9;2.215,54;;1.657,89;1.500,55;;1.853,85;1.900,69;;1.937,60;1.867,11;1.984,54;2.155,20
10;2.207,66;2.157,41;1.773,15;;;1.816,75;1.913,74;1.984,31;1.889,40;;2.016,94;2.196,53
11;;2.210,27;1.638,12;;1.533,16;;;1.958,43;1.881,53;;2.012,65;2.197,31
12;;2.235,65;1.398,34;;1.510,70;1.782,85;;1.959,85;;;1.969,53;
13;2.241,49;2.216,08;1.593,31;1.522,18;1.509,99;;1.887,77;1.927,54;;1.887,80;2.009,82;
14;2.246,58;2.191,83;;1.542,34;1.533,31;;1.921,80;1.943,32;1.916,13;1.903,76;;2.187,90
15;2.223,92;;;1.521,25;1.505,16;1.773,52;1.946,34;;1.916,22;1.898,10;;2.218,22
16;2.229,89;;1.375,54;1.501,77;;1.797,02;1.921,17;;1.903,01;1.884,18;2.041,35;2.252,78
17;2.263,35;2.209,34;1.442,15;1.523,59;;1.835,78;1.965,52;1.911,17;1.912,06;;2.056,01;2.264,76
18;;2.202,92;1.294,78;;1.573,50;1.848,07;;1.955,67;1.879,05;;2.033,21;2.258,51
19;;2.231,21;1.323,70;;1.563,83;1.857,36;;1.931,36;;1.890,43;2.042,95;
20;2.269,69;2.195,32;1.297,73;1.522,66;1.573,25;;1.993,24;1.942,21;;1.927,27;2.030,73;
21;2.235,38;2.179,17;;;1.606,77;;1.993,21;1.943,05;1.856,42;1.926,31;;2.216,75
22;2.259,78;;;1.555,82;1.591,95;1.833,13;1.994,05;;1.862,84;1.954,26;;2.235,10
23;2.281,72;;1.229,14;1.535,59;;1.842,35;1.959,38;;1.832,62;1.941,57;2.055,13;2.255,62
24;2.260,96;;1.345,43;1.451,80;;1.813,28;1.963,07;1.958,07;1.857,49;;2.100,94;
25;;;1.444,55;;1.657,24;1.846,11;;1.954,36;1.857,40;;2.107,44;
26;;2.029,05;1.497,79;;1.653,85;1.806,63;;1.925,95;;1.939,75;2.107,27;
27;2.189,45;1.978,21;1.415,00;1.508,22;1.698,95;;2.005,97;1.926,43;;1.912,74;2.114,12;
28;2.227,77;2.000,40;;1.567,39;1.679,95;;1.994,00;1.956,12;1.813,23;1.834,88;;2.281,57
29;2.208,86;;;1.601,80;1.688,40;1.841,05;2.023,43;;1.792,87;1.857,78;;2.286,29
30;2.211,56;;1.438,45;1.550,81;;1.827,29;2.011,15;;1.811,55;1.806,43;2.081,97;2.278,63
31;2.178,12;;1.408,29;;;;1.974,30;1.899,75;;;;
MÍNIMO;2.178,12;1.978,21;1.229,14;1.342,93;1.505,16;1.708,42;1.847,53;1.899,75;1.792,87;1.798,50;1.847,59;2.127,62
MÍNIMO;2.281,72;2.235,65;2.061,11;1.601,80;1.698,95;1.869,36;2.023,43;1.999,02;1.953,94;1.954,26;2.114,12;2.286,29
