INDX - 2019
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;16.932,16;16.427,94;16.776,55;;;17.641,12;18.759,32;;19.441,02;18.745,43;
2;15.506,54;;;16.671,22;17.178,71;;17.752,25;18.783,29;18.555,36;18.944,06;;19.900,60
3;15.509,27;;;16.561,92;17.329,59;16.699,00;18.026,05;;18.377,46;18.947,00;;19.925,65
4;15.630,04;17.089,44;;16.706,84;;16.698,03;18.281,71;;18.562,66;19.200,36;19.155,86;20.016,20
5;;17.279,27;;16.869,69;;16.552,62;18.456,19;18.465,48;18.655,27;;19.133,16;20.080,71
6;;16.756,00;16.234,86;;17.263,56;16.615,14;;18.819,96;18.546,25;;18.934,18;20.319,17
7;15.506,98;16.800,15;16.222,56;;17.063,96;16.606,39;;18.840,95;;18.827,25;19.355,09;
8;15.523,34;16.720,47;16.234,77;16.908,59;17.211,99;;18.498,00;19.030,55;;18.600,85;19.172,29;
9;15.792,48;;;16.790,78;17.285,39;;;19.078,72;18.587,42;18.517,56;;20.086,89
10;15.866,86;;;16.722,44;16.967,29;16.747,23;18.726,26;;18.707,87;18.608,99;;20.105,29
11;15.953,11;16.719,36;16.492,71;16.562,63;;16.890,67;18.399,39;;18.794,34;18.904,44;19.320,59;20.226,80
12;;16.705,99;16.398,22;16.569,07;;16.828,75;18.174,06;19.032,28;19.069,15;;18.991,11;20.405,06
13;;16.607,16;16.517,14;;16.538,68;17.076,91;;19.166,60;19.104,57;;18.894,07;20.621,90
14;16.063,01;16.735,88;16.475,92;;16.767,73;16.968,64;;18.621,27;;18.866,35;18.848,66;
15;16.127,73;16.749,44;16.706,37;16.659,51;16.643,70;;18.271,12;18.487,93;;18.952,06;;
16;16.272,28;;;16.944,68;16.616,47;;18.154,64;18.648,50;19.124,89;19.007,84;;20.663,28
17;16.330,63;;;16.794,87;16.793,51;16.964,79;18.152,04;;19.294,20;18.971,41;;20.536,72
18;16.439,72;16.672,64;17.042,48;16.716,05;;17.146,85;18.270,63;;19.273,18;18.895,62;18.952,36;20.699,92
19;;16.778,72;16.870,60;;;17.331,57;18.154,53;18.556,45;19.248,82;;18.995,52;20.818,58
20;;16.661,08;16.666,65;;17.039,02;;;18.417,24;19.408,55;;;20.958,18
21;16.573,85;16.668,86;16.546,81;;17.156,90;17.590,75;;18.591,00;;19.224,34;19.189,42;
22;16.294,03;16.833,90;16.189,33;16.877,51;17.301,60;;18.164,34;18.458,23;;19.274,09;19.300,31;
23;16.441,84;;;17.146,20;17.121,85;;18.170,85;17.985,16;19.419,15;19.129,04;;21.137,33
24;16.715,31;;;17.011,78;17.049,61;17.636,03;18.186,15;;19.543,78;19.011,18;;
25;;16.875,06;16.115,49;17.495,46;;17.397,84;18.299,45;;19.704,47;18.544,21;19.654,86;
26;;16.937,43;16.461,07;17.311,64;;17.369,49;18.453,88;17.742,67;19.609,46;;19.586,62;21.424,79
27;;16.762,61;16.054,56;;17.141,56;17.413,67;;17.837,55;19.483,33;;19.681,20;21.381,30
28;16.913,83;16.378,05;16.360,47;;17.212,67;17.459,31;;18.120,71;;18.529,98;19.810,78;
29;16.811,28;;16.512,96;17.358,23;16.910,38;;18.579,40;18.553,72;;18.483,16;19.854,27;
30;16.978,01;;;17.372,58;17.040,82;;18.704,90;18.661,98;19.447,97;18.579,78;;21.187,16
31;16.736,25;;;;16.919,63;;18.551,37;;;18.458,14;;
MÍNIMO;15.506,54;16.378,05;16.054,56;16.561,92;16.538,68;16.552,62;17.641,12;17.742,67;18.377,46;18.458,14;18.745,43;19.900,60
MÍNIMO;16.978,01;17.279,27;17.042,48;17.495,46;17.329,59;17.636,03;18.726,26;19.166,60;19.704,47;19.441,02;19.854,27;21.424,79
