INDX - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;13.767,93;;16.705,56;18.097,84;;20.324,89;19.670,58;;22.207,52
2;21.767,50;;19.957,86;14.066,48;;17.035,80;18.166,32;;20.271,01;19.487,58;;22.120,30
3;21.864,04;21.655,67;19.796,77;13.560,73;;17.180,37;18.329,23;19.545,13;19.896,84;;20.353,48;21.908,21
4;;21.776,29;20.491,80;;15.523,08;17.471,52;;19.297,03;19.877,61;;20.638,96;21.965,55
5;;21.728,91;19.582,03;;15.578,71;17.612,65;;19.723,27;;19.947,82;21.187,01;
6;21.748,67;21.518,65;18.740,47;14.095,73;15.611,33;;18.477,93;19.949,41;;20.082,08;21.123,45;
7;21.885,52;20.998,17;;14.374,62;15.884,77;;18.470,34;19.747,90;;20.283,64;;22.002,16
8;22.014,94;;;14.636,78;16.059,18;18.290,21;18.787,89;;19.655,10;20.502,17;;22.157,12
9;22.035,74;;16.711,32;14.355,39;;18.053,84;18.661,84;;19.980,79;20.423,06;21.187,39;21.911,85
10;22.097,91;20.654,64;17.666,44;;;17.681,67;18.840,58;19.910,00;19.734,14;;21.246,06;22.016,41
11;;21.247,94;16.350,36;;16.010,13;;;19.855,83;19.622,97;;21.238,03;22.054,28
12;;21.495,60;13.610,85;;15.812,26;17.234,41;;19.959,11;;;21.042,44;
13;22.564,32;21.578,62;15.232,32;14.545,92;16.004,03;;18.385,12;19.864,95;;20.739,86;21.698,49;
14;22.609,43;21.386,72;;14.895,28;16.012,17;;18.403,92;20.310,43;20.165,77;21.016,68;;21.999,73
15;22.458,76;;;14.851,51;15.554,95;17.182,20;18.713,38;;20.645,37;21.168,59;;22.455,55
16;22.490,84;;12.950,03;14.754,38;;17.356,02;18.493,32;;20.255,10;21.379,49;21.828,79;22.812,92
17;22.674,36;21.551,60;13.401,15;14.909,28;;17.834,20;18.989,74;20.137,93;20.473,37;;21.799,41;23.042,95
18;;21.397,80;11.926,08;;15.613,06;17.912,83;;20.539,99;20.178,81;;21.542,85;23.136,46
19;;21.821,92;12.933,52;;15.541,44;18.032,05;;20.388,98;;21.141,32;21.487,85;
20;22.865,86;21.553,86;12.936,48;14.928,19;15.645,59;;19.268,82;20.581,72;;21.507,69;21.407,33;
21;22.694,70;21.640,26;;;15.517,64;;19.280,76;20.615,40;19.987,21;21.293,39;;22.706,52
22;23.142,21;;;15.296,48;15.413,70;17.889,15;19.590,16;;19.984,30;21.579,80;;22.914,66
23;23.115,74;;12.654,94;15.275,76;;17.954,10;19.373,98;;19.496,03;21.569,31;21.586,77;22.964,38
24;22.978,56;;13.298,28;14.766,61;;17.805,69;19.540,63;20.583,88;19.676,20;;21.738,27;
25;;;14.130,52;;15.784,09;18.063,94;;20.440,59;19.767,54;;21.900,36;
26;;20.194,02;14.609,43;;15.961,21;17.713,05;;20.211,05;;21.535,14;22.110,57;
27;21.931,48;19.306,17;14.224,42;15.505,19;16.767,24;;19.847,30;20.135,58;;21.286,50;22.235,38;
28;22.255,34;19.278,97;;15.845,96;16.598,29;;19.776,78;20.348,56;19.283,86;20.486,76;;23.227,52
29;21.983,57;;;16.105,35;16.491,37;17.873,79;20.008,63;;19.239,02;20.482,37;;23.417,76
30;21.799,71;;14.249,17;15.716,73;;17.898,38;19.968,75;;19.513,57;19.822,50;21.867,76;23.390,13
31;21.426,53;;13.915,24;;;;19.523,91;19.864,94;;;;
MÍNIMO;21.426,53;19.278,97;11.926,08;13.560,73;15.413,70;16.705,56;18.097,84;19.297,03;19.239,02;19.487,58;20.353,48;21.908,21
MÍNIMO;23.142,21;21.821,92;20.491,80;16.105,35;16.767,24;18.290,21;20.008,63;20.615,40;20.645,37;21.579,80;22.235,38;23.417,76
