INDX - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;23.620,69;23.885,26;24.847,34;;27.360,16;26.612,40;;26.525,62;25.828,14;24.408,99;22.743,80
2;;23.704,84;23.946,32;;;27.422,92;27.082,18;26.652,13;25.843,07;;;23.337,10
3;;24.157,13;24.006,48;;25.719,65;;;26.759,29;25.971,05;;24.631,34;23.234,59
4;23.327,95;24.025,21;24.140,94;;25.653,64;27.357,51;;26.653,60;;25.305,45;24.529,06;
5;23.616,16;24.249,31;24.751,16;25.175,98;26.171,42;;27.208,04;26.292,40;;25.097,36;24.696,25;
6;23.685,93;;;25.518,13;26.467,16;;26.849,75;26.565,59;26.272,61;24.956,62;;23.745,47
7;24.335,02;;;25.528,76;26.729,96;27.458,27;27.302,18;;;24.853,13;;24.001,47
8;24.997,71;24.229,37;23.962,70;25.928,36;;27.132,81;26.838,71;;25.605,23;25.315,23;24.588,98;24.315,79
9;;24.275,56;24.442,21;26.043,60;;27.318,27;;26.734,89;26.162,90;;24.733,19;24.024,54
10;;24.173,48;24.226,62;;26.715,61;27.412,93;;26.650,30;25.992,31;;24.526,65;24.278,67
11;24.479,44;24.586,03;24.501,04;;26.973,80;27.425,79;;26.671,93;;25.306,10;24.845,80;
12;24.965,88;24.554,49;24.469,72;26.335,80;26.337,84;;27.370,70;26.235,91;;;24.382,26;
13;24.577,80;;;26.485,59;26.192,40;;27.363,54;26.421,64;26.293,37;25.845,05;;24.128,93
14;24.745,78;;;26.769,41;26.214,80;27.661,87;27.231,31;;26.328,71;25.702,29;;24.214,70
15;24.199,13;;24.691,99;27.168,20;;27.626,45;26.977,01;;26.029,41;25.777,86;;24.429,20
16;;;24.791,34;26.882,91;;27.156,69;26.637,03;25.903,53;25.682,20;;24.059,75;24.555,67
17;;24.821,18;25.242,51;;26.570,59;26.726,11;;25.517,44;25.080,65;;23.824,80;24.545,44
18;24.722,44;24.570,60;24.762,06;;26.544,55;26.873,93;;25.370,51;;25.665,94;23.857,50;
19;24.551,55;24.722,64;25.018,42;26.973,28;26.452,93;;26.382,18;25.760,74;;24.884,94;24.020,08;
20;24.381,54;;;26.820,25;26.363,24;;26.727,23;26.055,95;24.631,55;24.868,27;;24.071,43
21;24.005,52;;;;26.430,59;27.064,83;26.905,48;;24.846,43;24.394,54;;24.303,07
22;23.897,44;24.463,51;24.765,36;26.779,87;;26.850,30;27.013,44;;25.294,63;24.450,78;23.649,03;24.182,21
23;;24.594,40;24.394,95;26.965,55;;26.711,94;26.760,47;26.131,22;25.861,33;;23.716,81;24.261,34
24;;25.085,63;24.142,47;;26.419,87;27.118,58;;26.628,84;25.850,41;;23.677,91;
25;;24.094,11;24.407,10;;26.372,29;26.499,10;;26.980,01;;24.789,10;23.802,43;
26;23.871,83;23.633,38;24.654,62;27.108,36;26.326,29;;27.084,07;26.518,20;;24.433,17;23.084,15;
27;23.568,05;;;26.818,96;26.565,09;;26.691,64;26.740,14;25.882,10;24.266,95;;24.263,74
28;23.929,61;;;26.356,69;26.624,89;26.773,80;26.903,79;;25.272,89;24.470,48;;24.297,79
29;23.250,39;;24.819,97;26.241,02;;26.781,45;26.911,69;;25.609,18;24.377,75;23.125,73;24.167,45
30;;;25.202,06;25.971,63;;26.626,26;26.347,27;26.643,79;25.686,32;;22.944,24;24.323,03
31;;;25.049,77;;26.646,89;;;26.364,60;;;;
MÍNIMO;23.250,39;23.620,69;23.885,26;24.847,34;25.653,64;26.499,10;26.347,27;25.370,51;24.631,55;24.266,95;22.944,24;22.743,80
MÍNIMO;24.997,71;25.085,63;25.242,51;27.168,20;26.973,80;27.661,87;27.370,70;26.980,01;26.525,62;25.845,05;24.845,80;24.555,67
