ICON - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;4.001,11;;4.247,97;;;;;;;;
2;;3.946,54;3.936,00;;3.518,70;;;;;;;
3;3.814,33;3.927,34;3.894,14;;3.493,69;;;;;;;
4;3.753,41;3.877,44;3.816,91;4.240,61;3.554,46;;;;;;;
5;3.619,79;;;4.157,68;3.392,41;;;;;;;
6;3.639,80;;;4.061,86;;;;;;;;
7;3.616,46;3.850,99;3.669,18;4.041,63;;;;;;;;
8;;3.861,49;3.702,59;4.001,14;;;;;;;;
9;;3.930,63;3.866,95;;;;;;;;;
10;3.550,49;3.953,59;3.770,26;;;;;;;;;
11;3.618,66;3.919,28;3.667,33;3.945,31;;;;;;;;
12;3.714,63;;;3.920,01;;;;;;;;
13;3.692,48;;;3.904,68;;;;;;;;
14;3.724,82;3.980,68;3.634,79;3.868,74;;;;;;;;
15;;4.090,38;3.660,33;;;;;;;;;
16;;4.081,34;3.752,68;;;;;;;;;
17;3.684,40;4.045,45;3.792,78;;;;;;;;;
18;3.631,12;3.990,64;3.890,00;3.864,09;;;;;;;;
19;3.714,59;;;3.875,82;;;;;;;;
20;3.812,70;;;3.825,33;;;;;;;;
21;3.866,49;3.878,74;3.854,49;;;;;;;;;
22;;3.976,91;3.935,04;3.741,30;;;;;;;;
23;;3.954,34;3.954,98;;;;;;;;;
24;3.810,69;3.934,88;4.020,28;;;;;;;;;
25;3.924,54;3.919,84;4.081,02;3.751,31;;;;;;;;
26;3.975,41;;;3.663,66;;;;;;;;
27;3.998,53;;;3.666,28;;;;;;;;
28;3.967,72;;4.084,25;3.662,21;;;;;;;;
29;;;4.187,34;3.556,75;;;;;;;;
30;;;4.150,18;;;;;;;;;
31;4.020,76;;4.144,68;;;;;;;;;
MÍNIMO;3.550,49;3.850,99;3.634,79;3.556,75;3.392,41;;;;;;;
MÍNIMO;4.020,76;4.090,38;4.187,34;4.247,97;3.554,46;;;;;;;
