ICON - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;3.277,53;;4.340,94;4.776,09;;5.097,64;4.858,72;;5.071,99
2;5.436,88;;5.029,32;3.313,75;;4.426,64;4.712,76;;5.108,66;4.764,10;;5.114,27
3;5.440,77;5.544,35;5.020,75;3.160,60;;4.509,18;4.757,60;5.065,93;4.991,21;;4.714,23;5.173,11
4;;5.591,10;5.099,91;;3.922,20;4.519,09;;4.986,10;4.998,70;;4.896,83;5.197,03
5;;5.563,33;4.837,55;;3.914,97;4.587,41;;5.023,50;;4.827,11;5.064,12;
6;5.393,88;5.456,68;4.645,93;3.403,06;3.974,12;;4.847,84;5.095,65;;4.831,76;5.083,65;
7;5.385,32;5.351,35;;3.548,46;3.937,43;;4.847,25;5.067,28;;4.817,94;;5.174,69
8;5.406,36;;;3.636,15;3.920,07;4.714,83;4.920,36;;4.987,93;4.895,18;;5.249,97
9;5.452,54;;4.151,85;3.592,67;;4.679,47;4.962,30;;5.039,93;4.908,58;5.114,64;5.177,62
10;5.438,84;5.244,53;4.453,99;;;4.626,23;5.008,08;5.009,18;4.954,01;;5.108,57;5.178,24
11;;5.378,47;4.163,24;;3.864,02;;;5.003,01;4.887,77;;5.091,02;5.158,40
12;;5.444,63;3.521,48;;3.842,99;4.543,12;;4.965,73;;;5.013,00;
13;5.547,31;5.442,36;3.941,86;3.587,85;3.836,27;;4.886,17;4.933,62;;5.005,72;5.147,16;
14;5.584,81;5.411,70;;3.683,11;3.868,63;;4.898,48;4.991,01;5.058,98;5.060,11;;5.172,13
15;5.552,44;;;3.707,94;3.812,23;4.552,04;4.955,75;;5.073,15;5.059,28;;5.248,72
16;5.562,03;;3.305,14;3.718,32;;4.535,26;4.916,85;;5.036,19;5.040,11;5.163,20;5.330,07
17;5.618,46;5.476,23;3.457,96;3.752,08;;4.669,70;5.047,31;4.878,26;5.012,43;;5.167,31;5.330,26
18;;5.432,56;3.025,34;;3.921,11;4.679,89;;5.027,67;4.926,91;;5.111,84;5.297,77
19;;5.477,83;3.267,70;;3.946,85;4.744,77;;4.963,45;;5.007,01;5.105,89;
20;5.697,81;5.396,92;3.296,29;3.857,39;3.959,01;;5.165,21;4.981,99;;5.087,14;5.085,16;
21;5.679,34;5.419,28;;;4.016,51;;5.151,75;5.026,20;4.900,51;5.068,25;;5.219,17
22;5.714,24;;;4.019,74;3.948,97;4.698,49;5.167,42;;4.905,51;5.076,60;;5.238,56
23;5.728,82;;3.152,00;3.918,80;;4.732,48;5.024,42;;4.825,24;5.045,74;5.079,42;5.261,63
24;5.688,16;;3.371,22;3.736,94;;4.661,54;5.018,69;5.021,73;4.887,76;;5.114,45;
25;;;3.640,41;;4.105,17;4.709,37;;5.033,14;4.908,89;;5.153,26;
26;;5.080,68;3.796,17;;4.190,21;4.600,00;;4.988,43;;5.036,32;5.153,17;
27;5.498,08;4.867,65;3.589,08;3.907,39;4.373,44;;5.028,75;4.998,99;;4.992,53;5.160,12;
28;5.619,50;4.924,48;;4.038,99;4.297,29;;5.079,07;5.081,08;4.729,37;4.806,46;;5.322,32
29;5.591,89;;;4.095,00;4.272,40;4.692,83;5.137,84;;4.707,34;4.828,59;;5.357,93
30;5.537,25;;3.571,06;3.968,63;;4.703,23;5.189,67;;4.789,32;4.652,51;5.068,06;5.321,24
31;5.471,42;;3.372,66;;;;5.061,51;4.986,61;;;;
MÍNIMO;5.385,32;4.867,65;3.025,34;3.160,60;3.812,23;4.340,94;4.712,76;4.878,26;4.707,34;4.652,51;4.714,23;5.071,99
MÍNIMO;5.728,82;5.591,10;5.099,91;4.095,00;4.373,44;4.744,77;5.189,67;5.095,65;5.108,66;5.087,14;5.167,31;5.357,93
