ICON - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;5.289,74;5.015,57;5.061,55;;5.580,73;5.441,65;;5.039,86;4.770,85;4.316,73;3.798,98
2;;5.403,76;5.014,46;;;5.611,42;5.547,42;5.270,05;4.921,41;;;3.881,35
3;;5.450,54;5.016,34;;5.128,36;;;5.278,66;4.974,87;;4.463,54;3.937,10
4;5.267,06;5.422,05;5.100,79;;5.100,58;5.631,94;;5.206,97;;4.610,63;4.392,83;
5;5.238,38;5.439,27;5.158,88;5.132,05;5.155,89;;5.537,47;5.185,02;;4.604,71;4.503,71;
6;5.067,82;;;5.166,20;5.166,47;;5.449,69;5.209,37;5.085,16;4.628,37;;3.978,86
7;5.073,70;;;5.144,91;5.262,68;5.665,17;5.553,11;;;4.586,46;;4.003,41
8;5.365,99;5.442,03;4.887,80;5.239,56;;5.664,06;5.498,18;;4.913,63;4.699,42;4.449,77;4.052,44
9;;5.413,27;4.906,37;5.205,01;;5.629,98;;5.220,66;4.995,22;;4.553,69;3.957,70
10;;5.321,13;5.016,98;;5.244,76;5.643,72;;5.165,03;4.910,62;;4.552,23;4.025,39
11;5.327,06;5.411,49;5.101,37;;5.251,47;5.568,60;;5.154,74;;4.633,99;4.607,75;
12;5.426,08;5.406,48;5.067,78;5.241,40;5.095,46;;5.551,91;5.172,09;;;4.452,88;
13;5.369,25;;;5.320,96;5.163,15;;5.599,79;5.154,64;5.035,40;4.723,98;;3.994,16
14;5.423,52;;;5.325,91;5.213,86;5.648,13;5.620,68;;5.021,27;4.687,39;;3.960,50
15;5.387,95;;5.110,54;5.367,32;;5.632,30;5.585,40;;4.952,30;4.751,67;;4.017,24
16;;;5.081,82;5.373,48;;5.592,83;5.577,26;5.048,08;4.942,71;;4.297,04;4.025,09
17;;5.413,39;5.157,64;;5.260,96;5.599,98;;4.985,29;4.894,42;;4.233,94;4.017,66
18;5.454,89;5.309,96;5.018,60;;5.226,90;5.579,56;;4.981,03;;4.736,63;4.281,42;
19;5.415,64;5.328,93;5.130,79;5.345,30;5.212,73;;5.469,43;5.107,44;;4.561,55;4.315,74;
20;5.445,56;;;5.321,40;5.276,14;;5.482,51;5.177,57;4.793,58;4.518,51;;3.959,44
21;5.372,56;;;;5.286,54;5.598,09;5.454,65;;4.892,80;4.362,54;;3.959,20
22;5.324,99;5.236,20;5.098,90;5.252,33;;5.596,62;5.500,48;;4.881,67;4.304,04;4.207,90;3.902,87
23;;5.217,81;5.058,31;5.292,21;;5.556,89;5.446,91;5.109,30;4.910,17;;4.204,65;3.888,54
24;;5.207,32;4.927,21;;5.365,80;5.619,56;;5.198,24;4.885,43;;4.169,18;
25;;5.085,95;5.039,80;;5.382,33;5.505,95;;5.224,95;;4.376,77;4.182,36;
26;5.329,66;4.975,12;5.014,37;5.275,19;5.377,72;;5.402,23;5.105,48;;4.248,24;4.020,74;
27;5.283,41;;;5.167,46;5.403,28;;5.333,73;5.136,55;4.835,47;4.279,45;;3.925,98
28;5.413,88;;;5.161,32;5.442,46;5.573,43;5.360,61;;4.684,58;4.262,29;;3.923,05
29;5.252,96;;5.016,49;5.158,84;;5.538,65;5.356,42;;4.708,29;4.251,43;3.999,79;3.870,46
30;;;5.129,17;5.129,04;;5.497,85;5.210,60;5.100,94;4.709,56;;3.932,70;3.932,12
31;;;5.090,55;;5.463,02;;;5.007,44;;;;
MÍNIMO;5.067,82;4.975,12;4.887,80;5.061,55;5.095,46;5.497,85;5.210,60;4.981,03;4.684,58;4.248,24;3.932,70;3.798,98
MÍNIMO;5.454,89;5.450,54;5.158,88;5.373,48;5.463,02;5.665,17;5.620,68;5.278,66;5.085,16;4.770,85;4.607,75;4.052,44
